variable,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLAENA_EST
<<<<<<< Updated upstream
NAIRU[1],5.711451988482972,5.384969679157694,6.01810701861644,5.5105576622530235,5.906526235809522,1997 Q4,7.976871933333333,6.3871470386661855,0.4
NAIRU[2],5.745859644314809,5.401097738192965,6.076828883553846,5.530665237431361,5.953371655240803,1998 Q1,7.8403206,8.205906323515144,0
NAIRU[3],5.776900788536226,5.4156144293026625,6.134058329309304,5.551576686020573,5.999314058464636,1998 Q2,7.7336126,10.244080555449209,0.4
NAIRU[4],5.811036822748566,5.438771709591167,6.184182072617106,5.578463275398403,6.044013375946105,1998 Q3,7.7878253,11.102625319350423,3.1
NAIRU[5],5.839661389547258,5.45905110221828,6.232069302145274,5.599058984573839,6.081112224737202,1998 Q4,7.3745465999999995,6.51638942498538,0.2
NAIRU[6],5.865648015280193,5.473565864299706,6.268744534286215,5.616387542651862,6.117947947982634,1999 Q1,7.0822801,3.2587647998844282,0.2
NAIRU[7],5.888555218510904,5.482377788257789,6.305047621505961,5.63005335668428,6.151085630145986,1999 Q2,6.885881366666666,-1.1469027348764982,1.6
NAIRU[8],5.9136935457595445,5.493890042829389,6.3477123159896385,5.648294343427872,6.183177862114065,1999 Q3,6.8740763,-5.666003356549165,0
NAIRU[9],5.935900346131351,5.511964743988866,6.388362465127582,5.662592106224566,6.2136054779489704,1999 Q4,6.633631266666667,-3.9118416595471217,0.9
NAIRU[10],5.959075830446821,5.519362811335782,6.426139480822658,5.675618106421493,6.246480811103612,2000 Q1,6.650682266666666,-2.0131970951924316,1.5
NAIRU[11],5.969721897133942,5.521967572691232,6.444995460182093,5.680732808917221,6.266105908986921,2000 Q2,6.3018415999999995,4.170891253848286,-0.7
NAIRU[12],5.978289330618271,5.524032305876074,6.465101827768678,5.687389788330735,6.282767912662041,2000 Q3,5.989475933333333,5.919918008416758,1.6
NAIRU[13],5.979654982510789,5.520965727049516,6.476490714311259,5.686574613375623,6.286906178278313,2000 Q4,6.1718063999999995,8.981477240732882,3.1
NAIRU[14],5.974237291135257,5.509215501091804,6.474090292064314,5.679521660807663,6.2829416115416725,2001 Q1,6.366921866666667,8.228463259096674,2
NAIRU[15],5.952412534642875,5.49194025435998,6.455496110287517,5.658244812171884,6.264732940630857,2001 Q2,6.869281033333333,8.246203732647572,0.5
NAIRU[16],5.920908716139282,5.456802917370145,6.4169284613876725,5.627778860492972,6.232287348134311,2001 Q3,6.867468833333334,5.66886876816568,1.2
NAIRU[17],5.887609594476951,5.424495562085428,6.384714682023669,5.596584140820444,6.199603967925225,2001 Q4,6.979271533333333,2.8755974987303645,1.4
NAIRU[18],5.84684200242104,5.387973684322408,6.337201847866885,5.552810819208139,6.151341551021627,2002 Q1,6.626567866666667,1.9355442952956103,0.5
NAIRU[19],5.7991480589298705,5.345269974341383,6.27957922451196,5.507266714932031,6.099963391616888,2002 Q2,6.404474766666667,-4.324132417319415,1.8
NAIRU[20],5.750170980881232,5.296140413876533,6.225797611646678,5.461847252234382,6.042009515078533,2002 Q3,6.280212733333333,-2.753210339020118,0.8
NAIRU[21],5.695311753081011,5.245755950616312,6.16002022979062,5.409438607159936,5.986823384967138,2002 Q4,6.1575767,-4.345011692652445,0
NAIRU[22],5.642339906715519,5.195580602912307,6.1064027386164845,5.361760448485715,5.932535583044561,2003 Q1,6.0556449,-4.659608729443221,0.5
NAIRU[23],5.584558714400569,5.143907825203846,6.042778502900803,5.30732746912741,5.875459552587364,2003 Q2,6.050972933333333,-5.552309049921789,1.5
NAIRU[24],5.530233841592839,5.092350814422993,5.98877997794825,5.25316535301167,5.816437411073114,2003 Q3,5.906948066666667,-8.031641781620547,1.3
NAIRU[25],5.475556492341071,5.0422784585484175,5.934810432614052,5.1980960310385065,5.762880303728339,2003 Q4,5.708732366666667,-10.389959501815138,1.9
NAIRU[26],5.416123934766462,4.979745588184884,5.8740415187517625,5.14140399730307,5.6998158839683715,2004 Q1,5.537008233333333,-11.98772772594987,0.9
NAIRU[27],5.359578877643684,4.918748050599667,5.823738941660326,5.086463173826278,5.640281474370948,2004 Q2,5.435607833333333,-6.52308022313326,1
NAIRU[28],5.307558557156447,4.867321559518862,5.767215662145052,5.034205196951256,5.588868417213593,2004 Q3,5.4793238,-2.613938820303563,1.9
NAIRU[29],5.26456836440866,4.824876225241055,5.720491542126068,4.989011999339719,5.546392527913206,2004 Q4,5.1174322,-2.0277192439150937,0.6
NAIRU[30],5.2233540165542,4.777152917758303,5.680454027600515,4.944599880286246,5.50357062852275,2005 Q1,5.106875466666667,-0.5676458004804985,0.2
NAIRU[31],5.186192146431929,4.740880605536011,5.638703504332452,4.9066260045800725,5.468449492690879,2005 Q2,5.057009066666667,-2.6194201090823377,-0.1
NAIRU[32],5.156266827619829,4.712065840105799,5.61347108033411,4.876663424435861,5.436008012529356,2005 Q3,4.958453066666666,-2.6841037524811817,2.4
