period,median,lower90,upper90,date,region
1,5.5853293667143,4.7385231696821535,6.105437657461305,1997 Q4,NSW
2,5.643809148365967,4.394840510706911,6.269052546533718,1998 Q1,NSW
3,5.7082610946125625,4.099955939383408,6.428551349960822,1998 Q2,NSW
4,5.787460239637765,3.779933796104616,6.576276531096319,1998 Q3,NSW
5,5.812499382154801,3.554678887143936,6.608943437921636,1998 Q4,NSW
6,5.878442858531264,3.4030104878515597,6.7054787049196305,1999 Q1,NSW
7,5.933219291889746,3.2164857889208527,6.780732438394026,1999 Q2,NSW
8,6.01119983665336,2.9915536516107584,6.896253139542972,1999 Q3,NSW
9,6.079541124197791,2.6935278214752487,7.020811292610433,1999 Q4,NSW
10,6.132637734316289,2.350825015385265,7.086163017104627,2000 Q1,NSW
11,6.133601779351196,2.187343496986594,7.058420066700088,2000 Q2,NSW
12,6.209784834141197,2.155526465204416,7.177130898256461,2000 Q3,NSW
13,6.202130042699705,1.999216127180096,7.142679490961903,2000 Q4,NSW
14,6.204185758163559,2.0053389127822254,7.161382556976119,2001 Q1,NSW
15,6.22006766312089,1.9893041360258081,7.186390940165662,2001 Q2,NSW
16,6.189907635637012,1.9724299181034854,7.168299671881383,2001 Q3,NSW
17,6.219342178018696,1.950632564345491,7.2198808768698886,2001 Q4,NSW
18,6.227809140223352,1.791812815669483,7.266437163481424,2002 Q1,NSW
19,6.20830105247439,1.6294425730433733,7.2228366192846885,2002 Q2,NSW
20,6.225558623575805,1.5181112573495787,7.252237224966093,2002 Q3,NSW
21,6.146325849271507,1.397035557165775,7.111093727266313,2002 Q4,NSW
22,6.159611114528612,1.4678910005504924,7.156262909336582,2003 Q1,NSW
23,6.095170029407015,1.3636801527025924,7.060343474379403,2003 Q2,NSW
24,6.011943572935049,1.3398049030914096,6.959279994624049,2003 Q3,NSW
25,5.977750775154429,1.3826244282918134,6.919654094810786,2003 Q4,NSW
26,5.940754213478334,1.3620275346204993,6.877192334065471,2004 Q1,NSW
27,5.957479659655945,1.2578503833914187,6.945525158804916,2004 Q2,NSW
28,5.975072401817526,1.0353851960949125,6.996249607698121,2004 Q3,NSW
29,5.896359063627289,0.8618039119740378,6.842583664819604,2004 Q4,NSW
30,5.908022309709267,0.931586049475283,6.859583595497236,2005 Q1,NSW
31,5.88347228772173,0.9654162549217645,6.826575661361967,2005 Q2,NSW
32,5.854998180412809,0.9699826504678377,6.804231423296242,2005 Q3,NSW
33,5.760215077617643,0.9298206562027382,6.675280315173917,2005 Q4,NSW
34,5.708282184258022,1.0173705861306845,6.633972588537651,2006 Q1,NSW
35,5.673026016206651,1.0547835109841448,6.602938270989749,2006 Q2,NSW
36,5.605929069903764,1.0132704283391312,6.512919201495542,2006 Q3,NSW
37,5.519195217151044,1.0501748345500939,6.404585612267463,2006 Q4,NSW
38,5.5150665827981005,1.104154584808088,6.408589495864286,2007 Q1,NSW
39,5.4836478341065815,1.113805536117916,6.35833735496342,2007 Q2,NSW
40,5.463056578785633,1.1380190233815133,6.34657299758236,2007 Q3,NSW
41,5.453975062749258,1.1358271755089764,6.343174015393018,2007 Q4,NSW
42,5.426626888770229,1.1742841503553694,6.311246251880781,2008 Q1,NSW
43,5.504293786160636,1.261397759737546,6.434987649992519,2008 Q2,NSW
44,5.43922170538864,1.1922088487645108,6.323929243604576,2008 Q3,NSW
45,5.471135121049173,1.4110729483657918,6.364338335843631,2008 Q4,NSW
46,5.41990104434494,1.568321941101851,6.30893161833262,2009 Q1,NSW
47,5.445518230411105,1.8118435808201483,6.3550892233566145,2009 Q2,NSW
48,5.453193167957126,1.8709677863680478,6.38569809272834,2009 Q3,NSW
49,5.408211439039402,1.7887805516007433,6.317212641865677,2009 Q4,NSW
50,5.417965552044162,1.818704898421123,6.343337836589652,2010 Q1,NSW
51,5.333762607194185,1.7235504952414136,6.223936119067338,2010 Q2,NSW
52,5.3026204140877,1.8052943690510377,6.2135142427292385,2010 Q3,NSW
53,5.21157823729175,1.8233448055690338,6.0899513871577575,2010 Q4,NSW
54,5.181346972599928,1.963819607473571,6.064640193435493,2011 Q1,NSW
55,5.132748065106639,2.008694207908532,5.9961673065396734,2011 Q2,NSW
56,5.0031731851922405,2.0272588708391113,5.837037159133624,2011 Q3,NSW
57,4.945384813990708,2.258772625153231,5.779227456037776,2011 Q4,NSW
58,4.881714846968132,2.480246174790514,5.692957086050277,2012 Q1,NSW
59,4.776344715228483,2.587006167546804,5.5670450890724785,2012 Q2,NSW
60,4.763401808760975,2.8565966313601048,5.541563830291077,2012 Q3,NSW
61,4.761197027497042,3.1007295876311223,5.544866548540357,2012 Q4,NSW
62,4.7311734571358395,3.2604973943299873,5.5657539521208115,2013 Q1,NSW
63,4.755331970119922,3.433979355792179,5.690246746552109,2013 Q2,NSW
64,4.683542897983438,3.4651938678339067,5.740602532776857,2013 Q3,NSW
65,4.668312743719248,3.5847674729764227,5.93563854474452,2013 Q4,NSW
66,4.659564709965387,3.6930972003648903,6.07981411092632,2014 Q1,NSW
67,4.625000189187631,3.730394215439941,6.217939079121506,2014 Q2,NSW
68,4.569100027915178,3.677888724830878,6.318913311832387,2014 Q3,NSW
69,4.567792940283643,3.6951684891692222,6.434621236189049,2014 Q4,NSW
70,4.508750354918331,3.639108249514236,6.4805633131498,2015 Q1,NSW
71,4.452659672220342,3.585265598439889,6.516665585655152,2015 Q2,NSW
72,4.403788715513759,3.5160229899203124,6.520263414485351,2015 Q3,NSW
73,4.37520157419314,3.5242820528737995,6.502004287465183,2015 Q4,NSW
74,4.2913442172819405,3.4473315486815923,6.3831673988599835,2016 Q1,NSW
75,4.256091353531717,3.4433052537128486,6.328924109334315,2016 Q2,NSW
76,4.186026940477235,3.372763707677959,6.212023118569857,2016 Q3,NSW
77,4.173629647746908,3.3794369309343755,6.198287391605366,2016 Q4,NSW
78,4.126119215055727,3.3225553050433003,6.1126626636563435,2017 Q1,NSW
79,4.0994751589152045,3.3254141182651935,5.999361002955026,2017 Q2,NSW
80,4.070685366567245,3.300163532772005,5.907498139543042,2017 Q3,NSW
81,4.054421181414151,3.299048949163736,5.830070824601771,2017 Q4,NSW
82,4.009777108528823,3.230299452337137,5.72798848155453,2018 Q1,NSW
83,3.939038934517144,3.1668917092366793,5.612115272464283,2018 Q2,NSW
84,3.9222865051003977,3.1424895271136335,5.594736511874603,2018 Q3,NSW
85,3.9256598052845,3.1854337241167268,5.608997761933499,2018 Q4,NSW
86,3.870881138167269,3.1078339543392532,5.489788827785591,2019 Q1,NSW
87,3.8680144601872226,3.067991708873929,5.505351588789368,2019 Q2,NSW
88,3.876453231990757,3.0538757076049974,5.576042068821214,2019 Q3,NSW
89,3.9389734788224953,3.1153897690879835,5.694736838495701,2019 Q4,NSW
90,4.025411832222616,3.222934352225305,5.826329456574551,2020 Q1,NSW
91,4.093883598832685,3.291727518408522,5.9455329948808995,2020 Q2,NSW
92,4.09411276927664,3.299504393785534,5.86556820213943,2020 Q3,NSW
93,4.100269601608363,3.322983343406378,5.769693314281456,2020 Q4,NSW
94,4.080595923156346,3.2540734205040645,5.598577233501488,2021 Q1,NSW
95,4.059503195636891,2.9634606172213385,5.354191928397129,2021 Q2,NSW
96,3.958041707995359,2.5553373046773955,4.924292145995399,2021 Q3,NSW
97,3.97569085060299,2.27229224146051,4.778322405218584,2021 Q4,NSW
98,3.9673517349706646,1.8208552938549494,4.72051896258228,2022 Q1,NSW
99,3.926445511622711,1.4311258925558512,4.642720953389959,2022 Q2,NSW
100,3.8984943748910736,1.2908984838951445,4.595712009763229,2022 Q3,NSW
101,4.00920735141425,1.1696994102601617,4.75665292044425,2022 Q4,NSW
102,4.104277929294721,0.7694457960713383,4.983541674048958,2023 Q1,NSW
103,4.083540815955183,0.46193442241414256,4.8517274044203,2023 Q2,NSW
104,3.969837034550588,0.4927862608062311,4.71336884721645,2023 Q3,NSW
105,4.033412555245718,0.869413357300215,4.818502226008153,2023 Q4,NSW
106,3.994246023237069,0.9470722321744511,4.800378917069455,2024 Q1,NSW
107,3.933522987014829,0.9357459489369466,4.803420558263628,2024 Q2,NSW
108,3.878562356498839,0.9391806060746805,4.826199385194852,2024 Q3,NSW
109,3.8435470591548357,0.8580831359336459,4.866823896479264,2024 Q4,NSW
110,3.8228337282568496,0.7785206492826415,4.9297875306787375,2025 Q1,NSW
