period,median,lower90,upper90,date,region
1,5.581203389656038,4.720205166120434,6.195963696168807,1997 Q4,VIC
2,5.619335910417593,4.361637688762914,6.459526018380701,1998 Q1,VIC
3,5.6754673372081665,4.013414434264292,6.701844309702901,1998 Q2,VIC
4,5.72134014773192,3.6982272083835506,6.940536169144258,1998 Q3,VIC
5,5.7816160490066775,3.4467879739523895,7.146544423563753,1998 Q4,VIC
6,5.8617985538754365,3.1997764902528716,7.332423432930718,1999 Q1,VIC
7,5.872809860166393,2.9147731430895827,7.500334798198426,1999 Q2,VIC
8,5.901726616284723,2.6769045870672272,7.66186269515496,1999 Q3,VIC
9,5.922856156498174,2.426476651040643,7.7920388069796465,1999 Q4,VIC
10,5.910983436623052,2.171432316302826,7.902608134585002,2000 Q1,VIC
11,5.872962228230422,1.9011078905981502,7.998819837923583,2000 Q2,VIC
12,5.779265635015984,1.649370803389319,8.028288374559157,2000 Q3,VIC
13,5.792297014692382,1.5679098863038825,8.115679815545173,2000 Q4,VIC
14,5.705934235912235,1.465865484326034,8.119177376000222,2001 Q1,VIC
15,5.758240729155232,1.541603455505738,8.143789032274384,2001 Q2,VIC
16,5.652856703709884,1.48436576095365,8.180924462458574,2001 Q3,VIC
17,5.645485711221811,1.2415798669998943,8.12567978513613,2001 Q4,VIC
18,5.627148790765048,1.1555797926574172,8.061677788444113,2002 Q1,VIC
19,5.451047550797223,1.2756284431825808,7.987464019526127,2002 Q2,VIC
20,5.466527535051766,1.3299656683750967,7.9455108971506885,2002 Q3,VIC
21,5.458785317770873,1.2025489880572018,7.824695771442491,2002 Q4,VIC
22,5.3847490072578115,1.0063710965036385,7.735045578725522,2003 Q1,VIC
23,5.3174432592190914,0.8990951524618728,7.672987780618473,2003 Q2,VIC
24,5.285304693859205,0.8844591598331903,7.659882163607195,2003 Q3,VIC
25,5.318769475578479,0.6918343585082444,7.667132807435973,2003 Q4,VIC
26,5.405325660896994,0.45096174845141856,7.660825923855132,2004 Q1,VIC
27,5.3563146092543885,0.346416720909456,7.659378326646786,2004 Q2,VIC
28,5.23275863558734,0.4250151731946459,7.683488577666497,2004 Q3,VIC
29,5.222283731040905,0.6104363848357774,7.672314472172218,2004 Q4,VIC
30,5.235254359655259,0.7036171583941538,7.643094996539259,2005 Q1,VIC
31,5.025918398254277,0.5974386093058215,7.545905931120685,2005 Q2,VIC
32,4.926995758759029,0.612901025204825,7.439919525464781,2005 Q3,VIC
33,5.000321748737578,0.6742895962979353,7.3422988216291465,2005 Q4,VIC
34,4.945889948734756,0.7393625465952599,7.2443074814951975,2006 Q1,VIC
35,4.848615372344112,0.6764127358322398,7.188666588781629,2006 Q2,VIC
36,4.604368759527892,0.4330032836609515,7.050555632777579,2006 Q3,VIC
37,4.617579340378084,0.5395823045669349,7.003149821074018,2006 Q4,VIC
38,4.706516161816074,0.6899268438486238,7.006450146253655,2007 Q1,VIC
39,4.487079892423904,0.542486893055527,6.974364947086184,2007 Q2,VIC
40,4.243269827907007,0.4299781637008391,6.8939093466491865,2007 Q3,VIC
41,4.573901782744912,0.5497302622085858,6.91585966012531,2007 Q4,VIC
42,4.6055072854110986,0.6832197745599591,6.876264734573317,2008 Q1,VIC
43,4.695732263037103,0.8152376989019938,6.877360911966152,2008 Q2,VIC
44,4.57001091893791,0.985782488282273,6.788047849353871,2008 Q3,VIC
45,4.805341413738316,1.3246265001303288,6.8057734596238015,2008 Q4,VIC
46,4.876310149832436,1.4797708620202736,6.796131907670006,2009 Q1,VIC
47,4.906949278826413,1.4774151801265258,6.797128536843436,2009 Q2,VIC
48,4.861204590800867,1.3911677974752426,6.7740395214372535,2009 Q3,VIC
49,4.857887949553238,1.4023072869100985,6.792300708841546,2009 Q4,VIC
50,4.837301203026451,1.187522376279138,6.8404685294098355,2010 Q1,VIC
51,4.834033355754803,1.1531499622672035,6.800095995750432,2010 Q2,VIC
52,4.9548086279852335,1.4027666618795118,6.857970954802891,2010 Q3,VIC
53,4.9060577989424194,1.4838768934897708,6.8447273662338475,2010 Q4,VIC
54,4.926849636094151,1.5908324825703115,6.839472131822382,2011 Q1,VIC
55,4.897694269377531,1.559074194030162,6.797714494192221,2011 Q2,VIC
56,4.980018379576004,1.6553142303376278,6.782611419958643,2011 Q3,VIC
57,5.105944428485552,1.845535235738185,6.8080107509313885,2011 Q4,VIC
58,5.150054283403431,2.0039790618767586,6.785973044119157,2012 Q1,VIC
59,5.249760302615378,2.1678329247676693,6.800100837712083,2012 Q2,VIC
60,5.289455435861079,2.369090406471099,6.730022147537102,2012 Q3,VIC
61,5.390469501701186,2.6403185511233787,6.747508625512616,2012 Q4,VIC
62,5.363048897991264,2.7154497932365818,6.683644864980961,2013 Q1,VIC
63,5.386157890926372,2.819241664232667,6.652860887247452,2013 Q2,VIC
64,5.400767907113539,2.903169569958867,6.634924343901757,2013 Q3,VIC
65,5.427176743033644,3.003162881575288,6.600488899005114,2013 Q4,VIC
66,5.480409918524009,3.1897252420733677,6.590614496772616,2014 Q1,VIC
67,5.48194372409721,3.3391474044974614,6.5474352620907705,2014 Q2,VIC
68,5.471688726751166,3.4652209885822343,6.495497005106888,2014 Q3,VIC
69,5.471211225538957,3.5883715253644284,6.470778053060477,2014 Q4,VIC
70,5.393011897370743,3.6206033117756276,6.385686483479997,2015 Q1,VIC
71,5.37041451264265,3.708881517982624,6.333115874905436,2015 Q2,VIC
72,5.324505462432851,3.775956520727607,6.277891766867228,2015 Q3,VIC
73,5.276651256056878,3.810586632472445,6.232185250028423,2015 Q4,VIC
74,5.214000450324015,3.769694060119778,6.164301841094961,2016 Q1,VIC
75,5.142337544964121,3.677278919501601,6.089367487145925,2016 Q2,VIC
76,5.074104966310634,3.5245529389946144,6.008483426243288,2016 Q3,VIC
77,5.045669041219384,3.501946331793698,5.977768076369221,2016 Q4,VIC
78,5.034660827499394,3.4636843511038515,5.962631021382545,2017 Q1,VIC
79,4.974391137984858,3.352409282961803,5.913222414163122,2017 Q2,VIC
80,4.923049661753943,3.301328695440159,5.855983496636055,2017 Q3,VIC
81,4.883764439071203,3.2372452273030525,5.8173923853288345,2017 Q4,VIC
82,4.784071064266081,3.099882056059713,5.726853654774362,2018 Q1,VIC
83,4.710383246865977,2.9673348338364574,5.654196790124246,2018 Q2,VIC
84,4.623610864960762,2.88075092844056,5.567686758082886,2018 Q3,VIC
85,4.605578972697466,2.9004365865250734,5.527556929363239,2018 Q4,VIC
86,4.5703751594457,2.981155092589046,5.478601597424583,2019 Q1,VIC
87,4.596660762062067,3.1401044426901663,5.4729346735759865,2019 Q2,VIC
88,4.577624656389249,3.259894316870157,5.457253612126841,2019 Q3,VIC
89,4.62326458415027,3.444003952140922,5.5163540872460075,2019 Q4,VIC
90,4.62514165178502,3.456670255122667,5.531451855634119,2020 Q1,VIC
91,4.5456041815998365,3.166880144886641,5.458467133091612,2020 Q2,VIC
92,4.4416557952910125,2.8978318698039303,5.351438163160997,2020 Q3,VIC
93,4.444566508394785,2.8332431401111324,5.367509935832465,2020 Q4,VIC
94,4.361948777487737,2.5212537707523603,5.327482345451615,2021 Q1,VIC
95,4.193494614736404,1.9522984871345976,5.242701712528758,2021 Q2,VIC
96,4.07979748748671,1.588671028629665,5.220312080429284,2021 Q3,VIC
97,4.023297588010699,1.3180965824501099,5.262723777833246,2021 Q4,VIC
98,3.970923708421172,0.9543651309411669,5.325427379560758,2022 Q1,VIC
99,3.8517730082113557,0.7461469889250567,5.311383311454895,2022 Q2,VIC
100,3.8466657350565905,0.8544643888316731,5.423556059259304,2022 Q3,VIC
101,3.888213220448291,0.7262537914918762,5.4974971293141595,2022 Q4,VIC
102,3.879444671208457,0.5718615904940514,5.57227340857852,2023 Q1,VIC
103,3.903004529455552,0.6072547045363044,5.570430493253335,2023 Q2,VIC
104,4.012564005906699,0.8248563795239453,5.679699345645214,2023 Q3,VIC
105,4.025712362907946,0.7588885674682645,5.752478816411691,2023 Q4,VIC
106,4.013092792880472,0.5398046431478747,5.784175674938098,2024 Q1,VIC
107,3.993314960901919,0.37122874402843065,5.798090699857797,2024 Q2,VIC
108,4.104931476838627,0.43435113329544595,5.944027783917965,2024 Q3,VIC
109,4.116826747649185,0.2738029477914139,5.997527089371417,2024 Q4,VIC
110,4.048805721948625,0.20409579143815346,6.049166181495959,2025 Q1,VIC
