variable,mean,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLAENA_EST
NAIRU[1],5.726524945264353,5.72694490980242,5.3946980151138515,6.037940155984531,5.504100232401999,5.951587494778517,1997 Q4,7.977187499999999,6.3871470386661855,0.5
NAIRU[2],5.763353341114291,5.775910655975588,5.404735627865176,6.0765602253001205,5.524008262054081,5.980433785175103,1998 Q1,7.840956133333333,8.205906323515144,0
NAIRU[3],5.801927194710186,5.812576989855863,5.412187210881878,6.205792840004396,5.52536287552057,6.043132263349936,1998 Q2,7.733828733333333,10.244080555449209,0.4
NAIRU[4],5.850133905518385,5.854830689765647,5.426755095910087,6.259300674579731,5.573270436907196,6.083386926820497,1998 Q3,7.7882881,11.102625319350423,3.1
NAIRU[5],5.877681012133291,5.886370941780452,5.4514630802334105,6.267027558447359,5.6161696666516105,6.1359885828490555,1998 Q4,7.3748021,6.51638942498538,0.2
NAIRU[6],5.902355404332398,5.896142566675474,5.491061657429306,6.331830367468177,5.6226832244687,6.175805386456905,1999 Q1,7.082459,3.2587647998844282,0.3
NAIRU[7],5.9231109489218,5.920024907047251,5.476899023222032,6.3723127331741205,5.640359885547188,6.184808942072477,1999 Q2,6.886110866666667,-1.1469027348764982,1.6
NAIRU[8],5.952376337849608,5.950802951664203,5.5160213790325034,6.395751703968717,5.666541256662701,6.265625433744728,1999 Q3,6.874404833333333,-5.666003356549165,0
NAIRU[9],5.980881602271125,5.966034519037251,5.560160946178991,6.451792301081639,5.684075208478639,6.2623732616496275,1999 Q4,6.6339581333333335,-3.9118416595471217,0.9
NAIRU[10],6.00817249694286,6.013054753976517,5.52977330022527,6.415903391916313,5.689860470279593,6.310146221725889,2000 Q1,6.650502033333333,-2.0131970951924316,1.4
NAIRU[11],6.01309012488955,6.000831878670054,5.5156585717068705,6.485488857990055,5.724289679074531,6.320841990849173,2000 Q2,6.3020701,4.170891253848286,-0.6
NAIRU[12],6.02946088553269,6.008284405834132,5.568099007285406,6.531848405803078,5.7211723378419235,6.360625070936141,2000 Q3,5.989740533333333,5.919918008416758,1.6
NAIRU[13],6.031774526955383,6.050197763417679,5.5465759477467,6.478711966231067,5.746694831606848,6.3565694555847685,2000 Q4,6.172109266666666,8.981477240732882,3.1
NAIRU[14],6.021973218878411,6.005876321069606,5.543120611534264,6.507578635738643,5.724491960654857,6.363833563352517,2001 Q1,6.366243933333333,8.228463259096674,1.9
NAIRU[15],5.989766923826344,5.969862863345563,5.504065241979824,6.487596114186118,5.6742738146434615,6.321238449711697,2001 Q2,6.869537533333333,8.246203732647572,0.5
NAIRU[16],5.953866153704999,5.926533380208125,5.475266441041125,6.444451422626383,5.643389640217492,6.307495770649058,2001 Q3,6.867782666666667,5.66886876816568,1.2
NAIRU[17],5.9091528229836445,5.895848340745144,5.392182779930148,6.4204219315443645,5.549413004633643,6.253553298072898,2001 Q4,6.979481766666667,2.8755974987303645,1.4
