period,median,lower90,upper90,date,region
1,5.607298087699315,5.167917037790614,6.062625428924153,1997 Q4,AUS
2,5.701948366392102,5.1846511563014115,6.179906352479773,1998 Q1,AUS
3,5.734702097208862,5.2101417549277755,6.276554591961447,1998 Q2,AUS
4,5.79177023405548,5.221063280245862,6.380424016962243,1998 Q3,AUS
5,5.821941154623851,5.2420461837019925,6.463301767367953,1998 Q4,AUS
6,5.862769888822619,5.278091639952677,6.416310204083652,1999 Q1,AUS
7,5.834321818392825,5.211658550629774,6.453724970777265,1999 Q2,AUS
8,5.873455225492011,5.244909117580352,6.448516797083086,1999 Q3,AUS
9,5.881755466278275,5.260182106743989,6.478125763533908,1999 Q4,AUS
10,5.921165553766706,5.252951825771311,6.526097909893333,2000 Q1,AUS
11,5.9332577338530195,5.3022230118996925,6.566537950372429,2000 Q2,AUS
12,6.021225897688469,5.3625396406828685,6.706069803597421,2000 Q3,AUS
13,6.062501832829309,5.401957336441986,6.721281744853654,2000 Q4,AUS
14,6.113105605031235,5.472509071081884,6.756183051379188,2001 Q1,AUS
15,6.087741696457311,5.399175051706232,6.756033743003113,2001 Q2,AUS
16,6.078572387787365,5.4410645415911665,6.725517028599267,2001 Q3,AUS
17,6.101123819144114,5.463086392193299,6.725009830193368,2001 Q4,AUS
18,6.051927661650623,5.485965125861041,6.707331609478765,2002 Q1,AUS
19,6.075472357976674,5.458402769371515,6.657852720358628,2002 Q2,AUS
20,6.046863737161155,5.382713232484058,6.656374577225828,2002 Q3,AUS
21,6.0303653631416605,5.397493149812639,6.707853069063618,2002 Q4,AUS
22,6.005694170500279,5.3901376840153254,6.704230160628168,2003 Q1,AUS
23,5.920157459533742,5.319047250905191,6.627692343433353,2003 Q2,AUS
24,5.9052367533007555,5.244197002280224,6.576770623667081,2003 Q3,AUS
25,5.899793325201024,5.283384870354579,6.59772664905241,2003 Q4,AUS
26,5.862669412231465,5.247772403180145,6.485687215864177,2004 Q1,AUS
27,5.8054128662988065,5.193254312055087,6.400688707478109,2004 Q2,AUS
28,5.820143107926807,5.200669458707044,6.3669680010107825,2004 Q3,AUS
29,5.7894522207953125,5.257096326961862,6.38363359355642,2004 Q4,AUS
30,5.707228915294468,5.182036884072629,6.342340386336873,2005 Q1,AUS
31,5.642601297831316,5.107274546686837,6.314549315171303,2005 Q2,AUS
32,5.629128332357542,5.11077963327257,6.281324921232624,2005 Q3,AUS
33,5.588603213283785,5.104084661442809,6.200704788403188,2005 Q4,AUS
34,5.503454481886839,5.040513811283981,6.1435281319583845,2006 Q1,AUS
35,5.433445912993326,4.897653584549127,5.979287881675844,2006 Q2,AUS
36,5.318665895253075,4.814092182260973,5.829533492965512,2006 Q3,AUS
37,5.289538495383884,4.7544440513789565,5.850878740873443,2006 Q4,AUS
38,5.26571219985378,4.753284637081317,5.839208740652703,2007 Q1,AUS
39,5.21042292013151,4.7119436669687085,5.785143936083457,2007 Q2,AUS
40,5.185234397732874,4.651706212386171,5.789295810044851,2007 Q3,AUS
41,5.120931358098346,4.632831770244734,5.768844492158218,2007 Q4,AUS
42,5.103882195956112,4.533447785134965,5.6275340578800455,2008 Q1,AUS
43,5.059820889882859,4.414509902036835,5.5590840772197545,2008 Q2,AUS
44,5.0340192306325,4.452411975606921,5.493514589147729,2008 Q3,AUS
45,5.053694291862389,4.497521666508074,5.5710441030313564,2008 Q4,AUS
