horizon,rmse,variant
0,0.1446552521377622,CPI & ULC model
1,0.1822960048405262,CPI & ULC model
2,0.2157642062299954,CPI & ULC model
3,0.2575159921329365,CPI & ULC model
4,0.2961518796266519,CPI & ULC model
0,0.14404873679781763,CPI & AENA model
1,0.18192703248294056,CPI & AENA model
2,0.21367146901599052,CPI & AENA model
3,0.24940860522828598,CPI & AENA model
4,0.2888896252883823,CPI & AENA model
0,0.14875421493900473,CPI & WPI model
1,0.18729051395828047,CPI & WPI model
2,0.21926637645978533,CPI & WPI model
3,0.25790629573136487,CPI & WPI model
4,0.2915571014654058,CPI & WPI model
