date,quarter,model,median
1997-11-15,1997-Q4,CPI & AENA model,5.697228112340643
1997-11-15,1997-Q4,CPI & ULC model,5.733300113984857
1997-11-15,1997-Q4,CPI & WPI model,5.822630197506534
1997-11-15,1997-Q4,CPI with AENA & WPI model,5.827804831371929
1997-11-15,1997-Q4,CPI with ULC & AENA model,5.77987331891214
1997-11-15,1997-Q4,CPI with ULC & WPI model,5.871156187177983
1997-11-15,1997-Q4,"CPI with ULC, AENA & WPI model",5.796259094619623
1998-02-14,1998-Q1,CPI & AENA model,5.7404138694070355
1998-02-14,1998-Q1,CPI & ULC model,5.769448039942089
1998-02-14,1998-Q1,CPI & WPI model,5.900031084166317
1998-02-14,1998-Q1,CPI with AENA & WPI model,5.870607055782859
1998-02-14,1998-Q1,CPI with ULC & AENA model,5.803084251070365
1998-02-14,1998-Q1,CPI with ULC & WPI model,5.936664828014028
1998-02-14,1998-Q1,"CPI with ULC, AENA & WPI model",5.854833937310053
1998-05-16,1998-Q2,CPI & AENA model,5.767629849459896
1998-05-16,1998-Q2,CPI & ULC model,5.8148925792215245
1998-05-16,1998-Q2,CPI & WPI model,5.96676818179793
1998-05-16,1998-Q2,CPI with AENA & WPI model,5.911814597053361
1998-05-16,1998-Q2,CPI with ULC & AENA model,5.856300738969427
1998-05-16,1998-Q2,CPI with ULC & WPI model,5.984184628779104
1998-05-16,1998-Q2,"CPI with ULC, AENA & WPI model",5.9146848588962655
1998-08-15,1998-Q3,CPI & AENA model,5.797357155085819
1998-08-15,1998-Q3,CPI & ULC model,5.848260957648629
1998-08-15,1998-Q3,CPI & WPI model,6.0100320348448815
1998-08-15,1998-Q3,CPI with AENA & WPI model,5.946715802715283
1998-08-15,1998-Q3,CPI with ULC & AENA model,5.884789829940786
1998-08-15,1998-Q3,CPI with ULC & WPI model,6.020295865018694
1998-08-15,1998-Q3,"CPI with ULC, AENA & WPI model",5.970195252660265
1998-11-15,1998-Q4,CPI & AENA model,5.838672230084326
1998-11-15,1998-Q4,CPI & ULC model,5.86625113829137
