parameter,mean,median,sd,lower5,lower15,upper85,upper95
alpha_pt_0,-0.0014649249544897653,-0.001007471611984584,0.0056577426497257215,-0.011133907528888307,-0.007248673611003207,0.003691629826813403,0.008281134467202498
alpha_pt_lag[1],-0.00432896384381041,-0.0044040891712845975,0.004658430096903897,-0.011651863957637785,-0.009410665317582598,5.015959327991262e-4,0.0032507216833240252
alpha_pt_lag[2],-5.269114396534129e-4,-3.3243110544470267e-4,0.004555567394133526,-0.007553939409624801,-0.005317169387743035,0.003997203756895712,0.007506507817361489
alpha_pt_lag[3],0.006729127502537651,0.006817133691018218,0.004585107661819908,-5.055250613326983e-4,0.0015750497191988843,0.011797644153099774,0.014458724076670045
alpha_pt_lag[4],-0.004595028983938586,-0.004701140522555963,0.005352359821801031,-0.013899278685909752,-0.009708165321488773,0.0010372931490426232,0.00410113191998051
delta_pt_0,1.1055965125978628,1.1120826882660264,0.052915658594730866,1.0173133909180678,1.0496684880895475,1.1594108997176222,1.1830513099037783
delta_pu_0,1.200473621145197,1.2014863282077717,0.0888124236842762,1.063380281182795,1.1193884121415045,1.283929084196968,1.3465533626923276
eps_pt,0.15251662873381386,0.15231773598249904,0.011871306687164422,0.13314877055678676,0.14119264115972507,0.164489937115783,0.1721701619431207
eps_pu,0.6974547565834055,0.6917870836676103,0.048138879791244905,0.6273362812616429,0.6478837951857292,0.7511424746816381,0.7789443717011567
gamma_pt_0,-0.4664809806074816,-0.4665298736578295,0.29025328992085786,-0.9135440675710479,-0.787254465946513,-0.1734619864077444,-0.00104197394676947
gamma_pt_lag[1],0.2227959827843613,0.2381111441775599,0.30641201393718903,-0.2925108956869357,-0.13245707039049637,0.5321177878547974,0.7283939347966766
gamma_pt_lag[2],-0.3104047930039212,-0.29291295255813854,0.35771622518839485,-0.8642457407493681,-0.6674919750317775,0.02655382021574689,0.33464623219839296
gamma_pt_lag[3],-0.24189744164406488,-0.25085372038049497,0.3195346879144251,-0.7886618568554632,-0.5751646975508535,0.10938979342071403,0.28663638982949585
gamma_pt_lag[4],-0.33095096679260855,-0.34458491884634856,0.2974891440776176,-0.7860426340099561,-0.6371979517187938,-0.048142102827650954,0.18817873403129193
gamma_pu_0,-2.3808029906686703,-2.353137363697788,0.6431508542387654,-3.3920785415318027,-3.0749577366493703,-1.7467081364102723,-1.2918578579234372
gamma_pu_lag[1],-0.38862582822143554,-0.4342085597133345,0.6943804400778607,-1.480675681928644,-1.0408111294124043,0.37907358580922895,0.7573261219817362
gamma_pu_lag[2],0.477243168369108,0.5392492028324997,0.7066785650995037,-0.6743559390358839,-0.33353248272726066,1.2926913010275503,1.5016274815327375
lambda_pt_0,-0.12259180645598658,-0.14121698805793667,0.4069428518502139,-0.7478504053533053,-0.497264490488312,0.25403220831000123,0.6014236764538613
lambda_pt_lag[1],-0.4121009874926431,-0.38604237941470676,0.804343077890516,-1.7340576100805971,-1.3535140156590169,0.5598278997804665,0.8352742070877088
lambda_pt_lag[2],-0.49123543557326416,-0.5777317490525935,0.9347960286803273,-1.9558428612164176,-1.602581782177963,0.726649597573357,0.9033367290076518
lambda_pt_lag[3],-0.5182270204114876,-0.4384846113868229,0.8951320482332648,-1.9019208149590754,-1.627072865775581,0.5619903596615614,0.8848784512862632
lambda_pt_lag[4],-0.43858925588458614,-0.40130884446853443,0.8644931114002782,-1.8003681257517716,-1.4656785350668098,0.5637520324558609,0.872649380956215
lambda_pu_0,-3.3048310817842657,-3.2739749629266535,0.7537786963732068,-4.45420230959689,-4.080373885415377,-2.5463811027593444,-2.0061333295696393
lambda_pu_lag[1],-2.8551017006872166,-2.8150700183230293,1.6827874224149166,-5.673531462169325,-4.8225680933233726,-0.8555249286282436,-0.15134889479135072
lambda_pu_lag[2],-3.057839169762899,-3.491337540928272,1.8587296747684467,-5.476165946479674,-5.043507565139023,-0.6371399707765447,-0.1407919378444431
nhat_init,5.720503331783693,5.726602149131377,0.15724213911978496,5.478486651742314,5.567474567112566,5.897548247808311,5.957802283175211
phi_pt_0,-0.010715435559589188,-0.010942206317038378,0.019467982618353308,-0.04257583151913106,-0.029184967604658274,0.008578717306499577,0.02160810974069303
phi_pt_lag[1],0.0050112989666477965,0.0046383534670712545,0.015822199247744292,-0.02065628122538979,-0.011191875014087077,0.022013428292170407,0.029312391553407164
phi_pt_lag[2],-0.03095908200321138,-0.029589829109170268,0.017146109625565623,-0.059476047527887634,-0.04723322478160924,-0.01356289682271519,-0.003873169981529086
