parameter,mean,median,sd,lower5,lower15,upper85,upper95
aena_missing,0.8085144337776998,0.8311180879527633,0.6279385615017428,-0.16498750565642095,0.11684822244467609,1.5303700549820372,1.7893845565452187
alpha_pt_0,-0.002197449317901347,-0.0022738942855552446,0.004737378746912289,-0.010344182752952883,-0.007012461339145692,0.003227826725347006,0.00526233938056663
alpha_pt_lag[1],-0.0045470540786461955,-0.004511288510095857,0.004186874824359844,-0.011709815675895538,-0.008174093029897146,-1.9202450522095104e-4,0.002469927564146306
alpha_pt_lag[2],-7.352435053723264e-4,-0.0010377855819880266,0.004209546754234875,-0.007392925188251159,-0.00509775036772549,0.0037097969421644623,0.006402820910194818
alpha_pt_lag[3],0.006386547575089131,0.00641372639256288,0.0042722617428956845,-3.388247251991739e-4,0.002093808407754144,0.010747851676806242,0.01365766548431979
alpha_pt_lag[4],-0.0049330284053295224,-0.004615288701858927,0.004801993595695083,-0.013075307621292406,-0.009683002318935872,1.6657821163469427e-4,0.002951829161106206
delta_pt_0,1.151332183961858,1.1511475198331178,0.0683611356805374,1.0476038156260512,1.0828373655623977,1.2218338459824065,1.270771197504108
delta_pu_0,1.512294761083805,1.5004238662711993,0.08247250475236227,1.3825140346123133,1.4388981299431478,1.6053513418083398,1.6478869849993345
eps_pt,0.15396413739360482,0.15288186204660653,0.013350528347318686,0.1331223885397126,0.13969627058828732,0.16754084866483385,0.17543410673542845
eps_pu,0.8368300167336608,0.8338478329287184,0.056866870268499015,0.7446045418446007,0.7808114912341234,0.8986037088170797,0.9373126919801624
gamma_pt_0,-0.5364546597873808,-0.5429099971121283,0.3211750586133537,-1.059456875918745,-0.8517002933768736,-0.23503521329607824,0.022539971037346562
gamma_pt_lag[1],0.26166220691800335,0.269117062248033,0.3449306828180776,-0.39107599685323824,-0.0642204659300644,0.6493952992315773,0.7922967331116905
gamma_pt_lag[2],-0.24857539764333206,-0.2617334924941044,0.4070758485709574,-0.8805541873791385,-0.6689374447046182,0.1407947785292516,0.4249228936854382
gamma_pt_lag[3],-0.17119043252872584,-0.15094536846304984,0.34183467284821595,-0.701385807949278,-0.5362281627009786,0.17812738392257887,0.3111290054391272
gamma_pt_lag[4],-0.39911652139588366,-0.3914928473805912,0.3320004174306576,-0.9555729254765452,-0.7514858980193458,-0.061131022998403076,0.11053344049617332
gamma_pu_0,-1.0352732593690948,-1.015068894080084,0.748404047855683,-2.236326932099344,-1.8432310917580326,-0.20474238406063006,0.2152891671937641
gamma_pu_lag[1],-0.2150429506473733,-0.15733566329209103,0.8368114249041381,-1.559854753320605,-1.0842276972896792,0.6578871440022934,0.982765518752633
gamma_pu_lag[2],-0.06948422297478538,-0.0377104889235661,0.7437494369270509,-1.2000472596378404,-0.8720160403146967,0.6616857668977164,1.1201604724711804
lambda_pt_0,-0.17143735912454874,-0.17584544933541554,0.3506031409151361,-0.7574777576889776,-0.5077452434046521,0.15378486836501315,0.44370209913122743
lambda_pt_lag[1],-0.45532011708867215,-0.46766213591004696,0.7951055887393983,-1.652207413942192,-1.4309005384020776,0.5055058524422854,0.7230208431632507
lambda_pt_lag[2],-0.5938456532479938,-0.5908657787445308,0.8383353540327301,-1.8252793453683396,-1.6123481636023385,0.48507319993555964,0.7887569176150891
lambda_pt_lag[3],-0.4180596367979967,-0.378295437831806,0.8102579187816246,-1.8114308260021088,-1.3308050268407319,0.5595006225851478,0.7925978281137634
lambda_pt_lag[4],-0.43378221141272144,-0.31566513885775555,0.8610449861513464,-1.82885910904817,-1.517520622528282,0.5506588434704561,0.8755049005328991
lambda_pu_0,-2.698007884208964,-2.6956534153579117,0.8334188661118559,-3.9934615818126225,-3.5859841235787933,-1.8599712268353057,-1.3054548679611413
lambda_pu_lag[1],-3.0395508223642262,-2.903893340882469,1.7308246389562187,-5.8910130020653355,-5.175403064871102,-1.0139342368559834,-0.4219266393110911
lambda_pu_lag[2],-2.8065249269949115,-2.769684071361043,1.6578498703677693,-5.456700116148499,-4.766012190842584,-0.869211510307496,-0.365591975660282
nhat_init,5.680706372340637,5.673388082663715,0.1691840926828159,5.419150823019814,5.500775776610462,5.85354739422302,5.96770596691983
