parameter,mean,median,sd,lower5,lower15,upper85,upper95
alpha_pt_0,-0.00398033990940339,-0.004080027515027923,0.004768395065844537,-0.011944830771127268,-0.008923217409184192,9.642408288530805e-4,0.004553936938228852
alpha_pt_lag[1],-0.005238349226010052,-0.005551756777248645,0.004826823582603076,-0.013288834557160466,-0.00975831552398386,-1.1703546652575677e-4,0.0027897291490695557
alpha_pt_lag[2],-0.0012984554591084765,-0.0011388634458604219,0.004419876215410258,-0.008819251637818512,-0.005593609261697896,0.0030004844671099994,0.00604595834816039
alpha_pt_lag[3],0.004772242729770442,0.004567130163085853,0.004859359535895794,-0.002685735052692159,-5.164211652583771e-4,0.009425433121852345,0.012850181880273048
alpha_pt_lag[4],-0.005789671390360112,-0.005490571669871769,0.0046621397756530635,-0.013561106169930367,-0.01030865146700834,-9.552452423459419e-4,0.0019456693760008623
delta_pt_0,1.1692272127951973,1.173498008647352,0.04815986722610862,1.093156819442679,1.1290596681863103,1.2172127681965639,1.2417384153691375
delta_wage1_0,1.5230685965405404,1.52578616236831,0.1329001692851018,1.2853450075568769,1.370937549140839,1.662028006111197,1.7275431083049009
delta_wage2_0,1.3681396696602823,1.3724923586380207,0.04215916575403053,1.2983575336575606,1.3285179560167748,1.40805343697989,1.431978611275937
eps_pt,0.15072355800020104,0.15040200424980793,0.01224896149041189,0.12992268999299028,0.1386875199843423,0.1637164470642321,0.17186983831756955
eps_wage1,0.820508914651233,0.8196785755644941,0.05367332805009392,0.7403370796718051,0.7643982809012195,0.8811713322910717,0.9128389336241295
eps_wage2,0.11159621018987305,0.11038045622732791,0.008674855409770855,0.09980500764521023,0.10275363401893017,0.11994604549053593,0.12620366252369364
gamma_pt_0,-0.30012064052491266,-0.302050829731764,0.3291769707002638,-0.8555948280919424,-0.6351934031994863,0.0362095541303604,0.2870055131218877
gamma_pt_lag[1],0.28406960796725655,0.29154761813248753,0.31351553903651236,-0.252009616878422,-0.03765157398354246,0.6331518145717758,0.8000615558148423
gamma_pt_lag[2],-0.2319565810451771,-0.2202012710222936,0.3364663769399842,-0.8589887898540041,-0.5522573085670199,0.14505424113012078,0.2821223620061608
gamma_pt_lag[3],-0.29430127224735164,-0.3007841919329624,0.35013097601465726,-0.9142031338925484,-0.6113483578658145,0.0445658938368172,0.2500764683763847
gamma_pt_lag[4],-0.4882827909438744,-0.5023720424152801,0.2738518993692504,-0.9209988538026604,-0.7755475279869379,-0.20843204482784577,-0.051368057867327135
gamma_wage1_0,-1.0820404182302794,-1.020251660617992,0.7562401394685809,-2.290129789220951,-1.8855097911768868,-0.23274666248162387,0.08543294277295847
gamma_wage1_lag[1],-0.2665539677462609,-0.2226693411127587,0.7798443968363014,-1.5822610510886856,-1.1801832578249618,0.5026837716199613,0.9601489366973144
gamma_wage1_lag[2],-0.0066851911124127545,0.0013460420287225716,0.6556294602563356,-1.0873923552828477,-0.6168627892222528,0.7029438897530531,0.9674576504917823
gamma_wage2_0,-0.20792020114525614,-0.2410042533121417,0.28494402374912553,-0.677595905391284,-0.4826656709890948,0.09196894306659707,0.22917168130586973
gamma_wage2_lag[1],0.07763566459617861,0.04650092978620901,0.610075117299927,-0.7727001313018198,-0.5346408383376351,0.674653267947762,1.182743168304826
gamma_wage2_lag[2],-0.7992087492909217,-0.7825774092181728,0.5438125627196363,-1.8130676386257563,-1.4179380651291171,-0.22506882351941082,0.025217881699456216
lambda_pt_0,-0.18139250020391012,-0.15581341179705455,0.3205116245159711,-0.6951288232428413,-0.5197694615142779,0.1281538555199661,0.30593695613140437
lambda_wage1_0,-2.7729025064536446,-2.8168259625607828,0.9348967855294258,-4.192926096085542,-3.772116286109329,-1.7806092257444672,-1.1527727160606462
lambda_wage2_0,-0.9766112124483465,-0.9266485220377876,0.4417070022374921,-1.6982123917974172,-1.4866459175711089,-0.49733774377093304,-0.2772299866508291
nhat_init,5.714607966849072,5.715152523382219,0.15555292744944707,5.428147883741992,5.567280738601964,5.875698879595132,5.953547449610541
phi_pt_0,-0.0033436910781148286,-0.0028375701501212325,0.0160865170964492,-0.029761425463607286,-0.019670929708381638,0.01340309019896048,0.02328060232923128
phi_pt_lag[1],0.010945926168427295,0.012172254562794083,0.014015701460128477,-0.011961776410595835,-0.00373158214934391,0.025327315313071294,0.03292415195471069
phi_pt_lag[2],-0.02637687214242489,-0.026511269774250806,0.01619550725067106,-0.05121726718725707,-0.04377491642520458,-0.00997133981765638,6.347242051490066e-4
phi_pt_lag[3],0.0010074133404469315,6.261241258786465e-4,0.015902239503244434,-0.02320438727479486,-0.015084160728750509,0.018031652365834056,0.024161317890039658
phi_pt_lag[4],-0.02569858203574574,-0.025675914523237975,0.01554423496915372,-0.05070088846306856,-0.04319479040890527,-0.010269352412135923,-3.0316815274232447e-4
pthat_init[1],0.6972205280040805,0.7158577626946658,0.1553779258514484,0.4385414728501652,0.5350457482877773,0.8532659199657614,0.9289780755165337
pthat_init[2],0.5035413479703074,0.501713566596344,0.14348216592729907,0.27321230979923566,0.3517272422706838,0.6604761158467383,0.7118757611644394
pthat_init[3],0.49359146784000213,0.4997870114687577,0.1274265392585502,0.2806148196859624,0.36202391367305536,0.6302017369855668,0.6995653493761568
pthat_init[4],0.31349878504745804,0.30753702001178385,0.14909889277124957,0.0816653269211296,0.1666230399634133,0.47836737153070114,0.5693321233577996
pthat_init[5],0.41060880582854836,0.40555933699957947,0.1417822320004299,0.16258583760518136,0.27066945903322603,0.5542259342631705,0.6294946567698637
pthat_init[6],0.5013735343269893,0.5021474524540445,0.14731408718855565,0.26122039336924013,0.36499909867373903,0.6421783563330109,0.7604233026604551
pthat_init[7],0.5048417200988744,0.5157961777402791,0.1518210064541235,0.26169554959220487,0.34483868703701254,0.6529733399405087,0.737233231671465
tau,0.0874402055323483,0.08843121985965877,0.010211652322876871,0.07138276735647846,0.07640791001198048,0.09658556502074137,0.10363122813995362
wage1_init[1],0.6665555155675341,0.6399121228084454,0.6659342123728016,-0.4152304206876488,-0.0011209105256848098,1.2771473477258741,1.7121782018453664
wage1_init[2],0.15430234488689915,0.18720461006599254,0.7773535812260659,-1.1365642623757946,-0.700694465459401,0.9466699683289226,1.364180748794271
wage1_init[3],0.4788023532028932,0.4108829706390522,0.764782849029773,-0.7202667958020047,-0.2445841235556757,1.3029584281723294,1.7882965887373594
wage1_init[4],2.854408536033747,2.8743520268514544,0.8928679768790395,1.4578466256275755,1.8515213822015626,3.7059473361876636,4.285072271650941
wage1_init[5],0.3548632415569659,0.35352613492575047,0.7793053524222185,-0.8647526904562677,-0.4708659200051175,1.1749780855752545,1.6360297680490319
wage2_init[1],0.8873692615046644,0.8791525339729958,0.12102605011678412,0.6933315576151454,0.7761215539955713,1.0113396160875605,1.102070706369555
wage2_init[2],0.8932459402175223,0.8925059612782452,0.11296664821809853,0.7101561658057456,0.7621336228398928,1.0111952967338531,1.0726757533631963
wage2_init[3],0.7339803507267654,0.737603723271945,0.10840121219939332,0.5452493057303647,0.618956207058546,0.847343751640923,0.89578930956171
wage2_init[4],0.7293807891252524,0.7323437474653185,0.1247271440824651,0.5197265523079906,0.59094286900473,0.8640364941122359,0.9384994847714261
wage2_init[5],0.7401739889355542,0.735612411444901,0.1278956712350434,0.5358446153563003,0.6305660005518684,0.8548606352253683,0.910855090705724
wage_missing[1],0.7659434795025317,0.7324624345796452,0.6815260029541816,-0.26361037874318155,0.08422286403994468,1.4886513717031793,1.7097730283245676
wage_missing[2],0.7838787533290208,0.7890085069416545,0.11049373011573557,0.6057242019759898,0.6747078731976683,0.8912582557933938,0.9562779534193734
xi_pt[1],0.518507574021768,0.5079672362734928,0.11206998118286182,0.35543842385672486,0.4101860702302273,0.6372130701708603,0.726813527644106
xi_pt[2],0.574549172936085,0.57536175089793,0.13795470968362794,0.33198343719117074,0.4520538911748118,0.7020176594972857,0.8097378290416385
xi_wage1[1],5.098279134253203,5.103091305513727,0.8004648139944549,3.9053818648828864,4.292696389210667,5.8994460097594805,6.444638765991726
xi_wage1[2],-1.3436460113785287,-1.3682311941731422,0.7456604979311806,-2.4551307611520783,-2.0640209353096393,-0.5598235717557986,-0.0043836716756633694
xi_wage2[1],-0.31243845287450445,-0.3265533934392471,0.12572782960111337,-0.5130464239679183,-0.4522722774478284,-0.18236135194271372,-0.09729336063693059
xi_wage2[2],-0.2522417846546708,-0.2523203552450587,0.1312230386050369,-0.4842738342039071,-0.4024469550408158,-0.11576026229504126,-0.04944449263032652
