parameter,mean,median,sd,lower5,lower15,upper85,upper95
alpha_pt_0,-9.751881370876631e-5,-8.41209178499086e-4,0.00597706930803778,-0.00860966362396555,-0.005889235735522689,0.006310916277662204,0.010083006874514031
alpha_pt_lag[1],-0.00283046759543933,-0.0026036029383696146,0.00496971015378677,-0.011120908180792552,-0.007635253967055453,0.0015584874650442291,0.005952616062219693
alpha_pt_lag[2],0.001796429198027945,0.001782499420947714,0.00532944218691407,-0.00710919709164663,-0.0035142888064899212,0.007323975220281144,0.009840998806293813
alpha_pt_lag[3],0.006723740771541764,0.006779952546597912,0.004977459185879555,-8.306697885168909e-4,0.0012367850115608757,0.011963247070059897,0.014927270640228993
alpha_pt_lag[4],-0.002798958728330823,-0.0028965484374901262,0.005675148080980277,-0.012178346495830631,-0.008272336100037886,0.002649216523290016,0.007403892550203599
delta_pt_0,1.057901348313234,1.0778453901839393,0.09231159960821982,0.8916728066835938,0.9519113664661238,1.1482900388911867,1.182459657452685
delta_pu_0,1.1553075475725811,1.1517540198146956,0.09268958074912508,1.0018956233272058,1.0651921737854124,1.259261564658603,1.3122181457890327
eps_pt,0.13233411980040746,0.13387606050060966,0.014382283744709401,0.10656238460347327,0.11709567524410848,0.14616328970901538,0.15315431593858528
eps_pu,0.7112062931946457,0.7082097960166351,0.055473967987983916,0.6310152141101761,0.6546917332742226,0.7714969870088267,0.817310926324436
gamma_pt_0,-0.5086100328088904,-0.49028039806992396,0.3571531857712728,-1.0774373001229718,-0.8985967620469701,-0.16164208359461044,0.09073156080130719
gamma_pt_lag[1],0.28077575146993217,0.28552752924763874,0.3324114232249907,-0.2651347384061751,-0.07982008430363823,0.6226316472074374,0.8151713961573475
gamma_pt_lag[2],-0.23790250030119783,-0.3036895763747179,0.43656082876675784,-0.9142396549129912,-0.655558991163277,0.23087807506201416,0.5210399556334799
gamma_pt_lag[3],-0.0727366776565137,-0.12370676219205062,0.41705158801303044,-0.699630848956418,-0.4925071694571998,0.3826928822091937,0.6901964774641924
gamma_pt_lag[4],-0.15361443728942453,-0.23666597861922528,0.48905629525142763,-0.8626096000899106,-0.6433938887226563,0.5301121409739602,0.6935391654986056
gamma_pu_0,-1.7807724785778152,-1.791364305395526,0.900591509756926,-3.351295402195424,-2.758884895892734,-0.7387785896803193,-0.33945374987019905
gamma_pu_lag[1],-0.08926789538836877,-0.09722408972025176,0.8298909521923484,-1.4698482673620692,-0.9846583658737353,0.7977731909973343,1.1935662231018784
gamma_pu_lag[2],0.490462985447558,0.466274646119913,0.6805373108595203,-0.5157405886219315,-0.24215996982363083,1.2283436395960101,1.6605993537709438
lambda_pt_0,0.033592424104877575,0.05499752387873652,0.45664637979851425,-0.7484567130234485,-0.43443139200121217,0.5204514061428762,0.722933302491812
lambda_pt_lag[1],-0.5502739994447803,-0.519536995403697,0.8376010093891824,-1.8131427564738898,-1.559384333208619,0.4068638812314389,0.8488172141064614
lambda_pt_lag[2],-0.555978339115367,-0.5974409283672875,0.8031465896551635,-1.7482247693537474,-1.4874114540698282,0.4101837851198363,0.753163959922804
lambda_pt_lag[3],-0.3525330460921366,-0.26917602010351527,0.8955812320888368,-1.80554502018355,-1.5559583609566274,0.6432905474959112,0.8464546748002711
lambda_pt_lag[4],-0.5404765237102362,-0.6878378351742223,0.8221257672514507,-1.7753051899011612,-1.427059129322625,0.43603878219166,0.8344771114329141
lambda_pu_0,-3.326993879887507,-3.309122887070961,0.8825339332502652,-4.723257171750518,-4.335857834190406,-2.3687935272324627,-1.8432451688049405
lambda_pu_lag[1],-3.105273316982875,-3.2430266437911497,1.9886944824810848,-5.871567406391464,-5.5504502001771225,-0.5798258376760383,-0.21229328695778357
lambda_pu_lag[2],-3.012144583623784,-2.917950953337387,1.6089817460975986,-5.639424314857807,-5.003133502264108,-1.0794478563551615,-0.4987654690062058
nhat_init,5.567875473917445,5.578200346593295,0.19151754882298938,5.235722727527731,5.378542776716442,5.7459315368535115,5.855429450625799
phi_pt_0,-0.007247137885051304,-0.007434412350056374,0.017505755441719947,-0.036371847970204256,-0.023882279523766516,0.010559924533841353,0.02185169182905313
phi_pt_lag[1],0.005088300700271875,0.0039216994651061765,0.021445163009788947,-0.027310272605636423,-0.016118233101514456,0.028604066826953146,0.03906502822797657
phi_pt_lag[2],-0.024789475930183817,-0.02475529313123709,0.0218757455113471,-0.05835341595409355,-0.047344804698911565,-0.0013287704896156743,0.013121242002130294
phi_pt_lag[3],0.01121845181321875,0.009725526548417962,0.01887939586384049,-0.018860119701500443,-0.006938604370576784,0.03148974101920915,0.04370151596176225
phi_pt_lag[4],-0.01634883328049598,-0.01547565938951237,0.018094236221622633,-0.04457889087110564,-0.034605262498561606,0.003028629322881511,0.014819178664979303
pt_residuals[100],-0.005801743716613431,-0.0016074331197502012,0.09388677002832162,-0.1482370054829659,-0.10060524159663611,0.08349084666312355,0.15506094697211165
pt_residuals[101],0.01236367605834492,0.006033283574876203,0.09524156666677544,-0.1387270708916591,-0.08105709299823169,0.10779502434847299,0.1595311564854691
pt_residuals[102],-0.10882539836533452,-0.11397980819036668,0.10793966374894869,-0.2778673039196744,-0.22414786962608998,0.0021080865051125008,0.05877347628205242
pt_residuals[103],0.016800843336899334,0.008617057413744689,0.07982589503487077,-0.10106045748512126,-0.06734750058840777,0.10420946792447044,0.14255019767160348
pt_residuals[104],0.1895899762031774,0.19333649264665342,0.07613874550427749,0.06444512643143287,0.11639820316831098,0.2637457550091721,0.3004370748632351
pt_residuals[105],0.01761583488167822,0.016548140259025512,0.07924900111023292,-0.09354739687574534,-0.07114003163978964,0.10070056261251782,0.15512025678824945
pt_residuals[106],0.06609219647533093,0.06008511059461874,0.07133791288735246,-0.050093268247617014,-0.01344618084473786,0.1379164191197429,0.181949993510314
pt_residuals[107],0.03407520660372519,0.03923140427932287,0.07651633576648256,-0.09435564844894011,-0.03957545277640101,0.1028449974502651,0.16865165048221198
pt_residuals[108],0.014646919956479027,0.013076898851072771,0.07613720728876788,-0.09975060461644993,-0.06227052108156163,0.09060420012338172,0.14010148147289456
pt_residuals[109],-0.2797923130773353,-0.29370204767720176,0.0850045421252176,-0.398936236422147,-0.3642675906414326,-0.18480137228485424,-0.1149564099764556
pt_residuals[10],0.07329182991463892,0.0751280533273303,0.07029679203989397,-0.038313717893692416,0.005723853116316662,0.15042681101708633,0.19375175434104983
pt_residuals[110],-0.059564482032692635,-0.06942781937726827,0.07129829944971697,-0.1725093957031723,-0.135831270026397,0.019516463491691425,0.06128244319769614
pt_residuals[111],-0.1745365269681076,-0.17627198628497182,0.06763292236211971,-0.2813080534971028,-0.23703531385531643,-0.10709763065823744,-0.05351273011034865
pt_residuals[112],0.19878164973771575,0.20205659066313508,0.0644801478494546,0.08882021706277472,0.1277378480004874,0.2623205958017804,0.3035671315472211
pt_residuals[113],0.07478683062402681,0.07712145643521107,0.06845060253839653,-0.042841259602470705,0.00691934741438041,0.1447514269030446,0.1730409268737803
pt_residuals[114],-0.04324965343527246,-0.034658395796418495,0.06688076781020288,-0.17394910497257543,-0.1081261607007262,0.024844369623204667,0.05235147126204427
pt_residuals[115],0.032979381767486896,0.03002335484597418,0.06577838772190661,-0.079906980633464,-0.0268736203866853,0.09471763677385316,0.1427940537175034
pt_residuals[116],-0.024498245362998407,-0.023555092423535318,0.06613064839452462,-0.12401605613302079,-0.08705096009414591,0.047714883611117635,0.08875503718994268
pt_residuals[117],0.016834052331144923,0.012863578973311252,0.057505507420690286,-0.07327155297776403,-0.04086601302433157,0.08215626725692217,0.1131747797974557
pt_residuals[118],0.02742876785789804,0.028594983412135733,0.06604764287564459,-0.07639794215170277,-0.03332657648716765,0.09697748317326507,0.13014627972743592
pt_residuals[119],0.020107664223186144,0.020223316138691994,0.07371507413408934,-0.10162451940544467,-0.04794546743489306,0.09765097008562508,0.1310176346343368
pt_residuals[11],-0.06448104773153217,-0.06312902537361598,0.06457131586834135,-0.17153833654423906,-0.13814787033929643,-0.0017297292047707572,0.03820245555521555
pt_residuals[12],-0.11812074000243496,-0.11998317457790791,0.07323494107912151,-0.22902063236824938,-0.19510659725170643,-0.0376391720223904,0.006755065017057488
pt_residuals[13],-0.08701244998226358,-0.08770947537578905,0.056218286425631356,-0.1812015441711458,-0.14901853164430567,-0.028996013015363004,0.005474734173698959
pt_residuals[14],0.2872581580480777,0.30061492963252856,0.09455288351138046,0.10826648906587048,0.18436617329772945,0.3889074152637772,0.4208996988704961
pt_residuals[15],0.12078341284714202,0.12517486528953498,0.0762958845588375,-0.010412161489586381,0.03999660928741573,0.20121144699236757,0.23533067420675588
pt_residuals[16],-0.004207030565447519,-5.859415562990966e-4,0.07321433240169237,-0.12220743419722274,-0.07620769810306056,0.07067085151232973,0.10742911164729696
pt_residuals[17],0.12267302453359942,0.12707860030337303,0.06567993246878642,0.005771461167300424,0.0540607185275923,0.19512118556262836,0.23101911803399292
pt_residuals[18],0.1354669610746964,0.1377854650364917,0.06319406058135417,0.04016888946173175,0.06933934420242373,0.20061260374247783,0.237644130757602
pt_residuals[19],-0.06873799433034654,-0.06715312379561406,0.050502547822608164,-0.15208838152853718,-0.12143559225163725,-0.014740865525707806,0.005571539502136293
pt_residuals[1],0,0,0,0,0,0,0
pt_residuals[20],0.042362369651121716,0.043879983140749756,0.05245793671393072,-0.042440040428035924,-0.016288579038806907,0.10204749268956953,0.12600704190307996
pt_residuals[21],0.03302942748150243,0.03964175069609904,0.05962100281432182,-0.07155894886055136,-0.03580540220798565,0.09782264296363097,0.1261506783553094
pt_residuals[22],0.09515960507827041,0.09539480978336384,0.05386445880422308,0.0063145903704112955,0.0433737945541503,0.15242222340177278,0.17534313172883645
pt_residuals[23],-0.0818491812173447,-0.08156764584647963,0.058480716557618106,-0.1714154888572822,-0.14467303929905467,-0.01708961435306244,0.015788389824662883
pt_residuals[24],-0.023730221484911298,-0.021588961084784697,0.05986902189200412,-0.12933781053124152,-0.08648605410957261,0.03295037279942124,0.07268565732568934
pt_residuals[25],0.07536898677327994,0.07924494504914681,0.05941974885726465,-0.02391545101855161,0.019292948372578698,0.13662430928924188,0.17287953441735077
pt_residuals[26],0.02480486593794397,0.025769494174069263,0.05763050318967389,-0.06880272446130999,-0.02957132213824472,0.08342717146155611,0.11303785737874265
pt_residuals[27],-0.08907640964470985,-0.08865346211053265,0.06162155162557559,-0.18119892610654378,-0.14793146949871516,-0.030249295918087296,0.011881952811908602
pt_residuals[28],-0.041320298491908415,-0.039616503265388237,0.06188625937618339,-0.14978571216078254,-0.10642434537031754,0.016981920479548177,0.07143621535686608
pt_residuals[29],0.13424327512578282,0.13319896555448418,0.06828911911303945,0.01678270156627044,0.06523635521831578,0.2071536101218219,0.2384578199079127
pt_residuals[2],0,0,0,0,0,0,0
pt_residuals[30],-0.08980428411773858,-0.09130255052768321,0.06642768714002731,-0.1995616582208977,-0.15703814648668835,-0.021646015626851343,0.03041557775891766
pt_residuals[31],-0.11514028172478519,-0.11189947376395365,0.06259038644802128,-0.20618343262428004,-0.1849407174543038,-0.051756949945967246,-0.010259121697386082
pt_residuals[32],-0.10939087486432157,-0.11413913420274596,0.06226998392387083,-0.21103252932300087,-0.17058234929847244,-0.044986255394926775,-0.007859253241664104
pt_residuals[33],-0.011103783352525485,-0.014978887930263085,0.06409689981177562,-0.10477653468925877,-0.07771250068778426,0.05583568424887983,0.07771845674947767
pt_residuals[34],0.04929417472014198,0.047897263570853554,0.06176143183010644,-0.047620388446529244,-0.01738974082278116,0.11422886456759254,0.14360873350213085
pt_residuals[35],0.07026201596125425,0.06659798991752419,0.066576751821854,-0.03601740568541829,-0.006829991392365664,0.14412467227803571,0.170457227079792
pt_residuals[36],-0.08066032487530465,-0.07732312223818394,0.06798669841807665,-0.20286268934940865,-0.15247405731668784,-0.013857464067949138,0.02978387567193717
pt_residuals[37],-0.1575188282551949,-0.16228398350200135,0.06569227521048353,-0.25396982423408543,-0.22096520532257025,-0.08646978440137094,-0.04473153752270783
pt_residuals[38],-0.1875345404392852,-0.19039219997973045,0.07061976082109613,-0.2872489479516726,-0.25844835095410834,-0.10976715089170958,-0.050910811420316567
