parameter,mean,median,sd,lower5,lower15,upper85,upper95
alpha_pt_0,-0.00296428305288413,-0.003425555761740834,0.0050487559664985585,-0.010029874030909694,-0.007978822692961454,0.0022191380831123766,0.006115494312415404
alpha_pt_lag[1],-0.004386211894203768,-0.0042544282089963525,0.004806802539111511,-0.012648053854815475,-0.009248358701626777,7.839397428977166e-4,0.003282594050555531
alpha_pt_lag[2],2.2681319023653678e-4,-1.6464024183140968e-4,0.0048633362446599306,-0.007245452637731231,-0.005075151887640648,0.00523740293447877,0.008270074137343797
alpha_pt_lag[3],0.006066868210208903,0.006327767188732292,0.005012471804133186,-0.0017518964481813319,5.492244134968344e-4,0.011426766649856045,0.014043430097299943
alpha_pt_lag[4],-0.00508924720000658,-0.005104898499758842,0.005240595818303527,-0.014361033213404742,-0.01009936488087955,3.062320356066024e-4,0.0032397122191156346
delta_pt_0,1.129793812059272,1.1273770478026495,0.06081631186970613,1.0371816973722712,1.0658030430889955,1.1947493557871032,1.2308084639238772
delta_wage1_0,1.1920482215818604,1.1834518424074045,0.09001856664262355,1.04557245535551,1.1085071473775157,1.2844223117976101,1.3498748162980496
delta_wage2_0,1.4743387555786187,1.477134530423833,0.16232057030467015,1.201287500297962,1.3109326599673459,1.633515815001697,1.73675386850745
eps_pt,0.15082991060422515,0.15212877069895936,0.012370671980872652,0.13091667623558545,0.13758870323809072,0.1630334060059693,0.17039309961575422
eps_wage1,0.692438579143296,0.6893895452852666,0.04883222641672217,0.6171603958301717,0.6402504212466383,0.7447994553624131,0.776317578416247
eps_wage2,0.8386437906133185,0.8365138523277844,0.05381341388018436,0.7575370458067716,0.781263606995179,0.8935072083955735,0.928195529027388
gamma_pt_0,-0.5005429987447172,-0.5057296923675165,0.31396486424471853,-0.9953057886323959,-0.7901832310040487,-0.17737925559980464,-0.006230102795569971
gamma_pt_lag[1],0.21781094446638694,0.23690037085561633,0.34337227043424573,-0.37548224336618097,-0.13367777541357134,0.5484557903722053,0.8008640062085565
gamma_pt_lag[2],-0.3765029774543292,-0.3894033758039008,0.3715431971107863,-1.0361466589335857,-0.7614417060838935,-0.005656802974060657,0.24790198548753634
gamma_pt_lag[3],-0.16568920852362354,-0.19385457399280243,0.33674447000877966,-0.629954748041806,-0.48799779192017845,0.19033153805554615,0.3718966598914204
gamma_pt_lag[4],-0.38221132455704154,-0.39133736026286886,0.2677115262100638,-0.7955289012821419,-0.6338697389711283,-0.12262705315077033,0.05277858711846235
gamma_wage1_0,-2.4265894138170756,-2.4024220637191567,0.7255770853307484,-3.69027727384567,-3.1778451927064606,-1.6405559407554509,-1.239491807303702
gamma_wage1_lag[1],-0.24892836626510456,-0.24424069226934308,0.7048886189350554,-1.323233992811107,-1.0074043692594004,0.5243728920910378,0.8959572414106853
gamma_wage1_lag[2],0.4259535102832172,0.4501195772881791,0.6131292996565437,-0.5908379256155518,-0.1820632306467868,1.0665274651510845,1.4213662693212514
gamma_wage2_0,-1.0652958792670995,-1.0427414293383146,0.6746901114578285,-2.236111839825044,-1.7917697800291332,-0.3279013815257514,0.0020408718031012397
gamma_wage2_lag[1],-0.2501223216843022,-0.2484263300436499,0.7597066381791009,-1.52611393480126,-1.0193888735457706,0.5979912039842636,0.9600836494987525
gamma_wage2_lag[2],-0.004625265048119219,-0.008264173966241684,0.718536710439909,-1.1901446750043394,-0.7742248902243789,0.78564244808927,1.3100149904226661
lambda_pt_0,-0.04401455430101846,-0.05421537696044834,0.35815057305351056,-0.6095603998734889,-0.42311835574356776,0.34132780165289556,0.5087250549517649
lambda_wage1_0,-3.4208969072663424,-3.4849774197879224,0.8108919290898319,-4.6796152030948805,-4.246087168258721,-2.57733857635856,-2.1890976097236146
lambda_wage2_0,-2.716339229057193,-2.711018450677376,0.899392853383875,-4.177104696457772,-3.651761088208171,-1.6985881068989173,-1.2267908656088728
nhat_init,5.727362808139692,5.719367301849733,0.1740411463720648,5.446133992035842,5.5408076483552975,5.899012432926627,6.013491891732314
phi_pt_0,-0.012460244245852561,-0.012221127058940379,0.019105167591672398,-0.04390595995775715,-0.032200040579407646,0.007024290598445776,0.01823489557656094
phi_pt_lag[1],0.00274491002270821,0.001959749854039905,0.01849976838249549,-0.02803128994939537,-0.016027901373336144,0.019393689758244355,0.03471166222838564
phi_pt_lag[2],-0.035669067436027276,-0.03578744234773068,0.017325506529199425,-0.06250777922700515,-0.0535775407510949,-0.01789725801824286,-0.006565138499728293
phi_pt_lag[3],0.008482127784746147,0.007932958593056205,0.018564925931264756,-0.02298316039398367,-0.010192704695824003,0.02833372093935113,0.03958301708954008
phi_pt_lag[4],-0.01960367762725931,-0.018840867248551413,0.01798617428112128,-0.04704525512264874,-0.038023061192649435,-8.999957020052385e-4,0.005378494689491529
pthat_init[1],0.7061801664594606,0.7102955529899941,0.14600871825552295,0.45521207794211543,0.5517222082143638,0.8555485852010386,0.9453928191017751
pthat_init[2],0.5004374980407525,0.49618273167407145,0.15727670003791605,0.2586560889339868,0.32490371222148917,0.6619692651029747,0.7584367768362466
pthat_init[3],0.5159973745928635,0.5308192499878516,0.13646312489529275,0.28248653342736413,0.3690787792873405,0.6653002392201642,0.7291824258482932
pthat_init[4],0.3068519095654856,0.3040352382650121,0.1532374200637574,0.07521920954910871,0.14275400388854326,0.4576625892308184,0.55213317463837
pthat_init[5],0.3932632614857644,0.38791148238507667,0.14606601714185563,0.16779395636784,0.24997429046492686,0.5363907030194517,0.6555770874835644
pthat_init[6],0.5166481717112945,0.5137626450138028,0.18319969866091904,0.23865091892266177,0.3081564392876136,0.7135430074418126,0.8279491439194683
pthat_init[7],0.49775192626587644,0.49711838919325835,0.1504659560208279,0.2737215587372858,0.33196386594316063,0.6489492084855379,0.7372897331325352
tau,0.08721128745959761,0.08751341492091266,0.016448097343976814,0.060010634229182895,0.0694705661799132,0.1037856029598529,0.11087210896178418
wage1_init[1],-0.16128923031907116,-0.09721941680244561,0.5564603748655654,-1.0814769062751404,-0.8385686509603852,0.37629001705391474,0.7297789665198202
wage1_init[2],0.4885903880193541,0.4898838326768873,0.6700842823089219,-0.5436611935656539,-0.25252319655907507,1.191648311504367,1.6147642349987743
wage1_init[3],0.6058099016604171,0.6400812746029277,0.6300911307017992,-0.40715806392958315,-0.061887032006102766,1.2383547597426166,1.5154059481371045
wage1_init[4],1.085747658489013,1.0307536560245814,0.7164017629370192,0.07165719929977625,0.31903217707815423,1.7927919174018812,2.4005741902392552
wage1_init[5],-0.6767352000559574,-0.6750731063508404,0.732971704353418,-1.7830870420922003,-1.4550390330888028,0.02795961027487274,0.524011339581334
wage2_init[1],0.562507705286761,0.49029624653195714,0.751919563673626,-0.5703503952890405,-0.20607919933716096,1.3379228175708282,1.7694068250644368
wage2_init[2],0.15368246979964034,0.16501974520782747,0.6582231901378386,-0.8894239043376956,-0.5203062762833792,0.7707367297871104,1.2196982319390772
wage2_init[3],0.4934116694550634,0.49167086680964156,0.9260571951210791,-1.0341200956986338,-0.4859120323503262,1.55864079112477,1.9628016474665833
wage2_init[4],2.809804754081881,2.8311917276790646,0.8118582377454384,1.4180743424223736,1.9562223211643568,3.721859296458809,4.137974664624014
wage2_init[5],0.33985467018419646,0.3955108154322704,0.7380375126101969,-0.9070443642201874,-0.4728696913516006,1.0977348796118618,1.4251638146214503
wage_missing[1],0.8199532391169468,0.8163597481250089,0.5938380999309947,-0.22478412213611504,0.23008832672038776,1.365518391852545,1.8581990080341493
wage_missing[2],0.8408893113454486,0.8648429270471056,0.6629661487985313,-0.32957636047839056,0.15402044829507516,1.5096071705804843,1.9018697157822726
xi_pt[1],0.43470423506978073,0.4292343580147223,0.10222239794024278,0.2709410598508028,0.3293010001535709,0.5371276682441244,0.5973984962072886
xi_pt[2],0.5126040742578408,0.5097907317897382,0.11198248824465722,0.32970054162916146,0.40238776352221345,0.6391283278775628,0.7008467804420616
xi_wage1[1],4.956978741159089,4.914120697797419,0.6771160555982181,3.7859974578130475,4.294848933497203,5.636810109809912,6.034900721021429
xi_wage1[2],-0.14635885598625173,-0.09872974149071634,0.6344295672206227,-1.26882037878878,-0.8310723621922482,0.4829398005231154,0.8669185292614343
xi_wage2[1],5.043351514302165,5.044453523037925,0.8547792346681397,3.565568778656639,4.241243327392124,5.881764839818951,6.488485639187151
xi_wage2[2],-1.2696540105414562,-1.2398378861638362,0.806687704004782,-2.68604593438598,-2.052458839326707,-0.4403493862166411,0.00617851985023378
