parameter,mean,median,sd,lower5,lower15,upper85,upper95
alpha_pt_0,-0.003930124528089841,-0.004409115989524676,0.004521958867342493,-0.010701179349755233,-0.00822789843989105,9.197131689941186e-4,0.0040223486704072985
alpha_pt_lag[1],-0.0050233909270477935,-0.005161642704596681,0.004757000487943342,-0.01244350827914507,-0.01000332876891273,-3.6010558890128266e-4,0.002766166603537514
alpha_pt_lag[2],-0.0010492707470822638,-6.876948231726021e-4,0.0046850909254462815,-0.008565541136923843,-0.005755855332410348,0.0038361358130379504,0.005882000047884061
alpha_pt_lag[3],0.004174899264806786,0.004227475365551903,0.004261039447960391,-0.00316440811459264,2.1436972897420286e-5,0.008110928793251766,0.01101786735447002
alpha_pt_lag[4],-0.005757120346573352,-0.005942526512139112,0.004879834967566906,-0.014821634844786854,-0.01026035001211501,-9.665852901735354e-4,0.002352057166385058
delta_pt_0,1.118997915347835,1.1173699319584487,0.04918238879042654,1.0461875838112993,1.0672324052725202,1.1676946783221926,1.1953766223173046
delta_wage1_0,1.2052456270562353,1.2021987711083242,0.07677869066719314,1.077628299591132,1.129146298673181,1.2852836676904478,1.3362208403728264
delta_wage2_0,1.4567909487126005,1.4480892890240278,0.14705876299725235,1.2263465127200734,1.3145412537141625,1.5926252543358725,1.7043266964559765
delta_wage3_0,1.3203981384958485,1.3203324373882355,0.03898067399507623,1.254527316963587,1.2786325058924894,1.358208585156944,1.3782990271983235
eps_pt,0.15332812641983604,0.15171691750730504,0.011878855414719345,0.13453710554399595,0.14216056245201708,0.16649995261084077,0.1724868930409658
eps_wage1,0.6879261044108367,0.6828411682384217,0.044971520373960766,0.6226626634897089,0.6431988396884268,0.7339435288928222,0.7682017480377017
eps_wage2,0.8254220757643612,0.8225357693268565,0.061548075191320564,0.7368714346975118,0.7636516473244049,0.8885314976608178,0.9351485623521905
eps_wage3,0.11407568234634878,0.11460809240994958,0.008722127441938586,0.10065131818255593,0.10494804195818083,0.12286229707043281,0.12807021014031073
gamma_pt_0,-0.31299587852253064,-0.30164468098229913,0.2721317726841572,-0.7971528725818529,-0.6111757285213915,-0.05251760537121158,0.13848184730022925
