parameter,mean,median,sd,lower5,lower15,upper85,upper95
alpha_pt_0,-0.002750107278906994,-0.002773287374541078,0.004968762677622838,-0.011109313310910834,-0.007181993846813528,0.0024144922428916424,0.005225108089949247
alpha_pt_lag[1],-0.0044785202875809406,-0.0046291112453018535,0.005225443045184519,-0.012768272802251268,-0.010486160297158416,7.529043905598225e-4,0.0050950218815455604
alpha_pt_lag[2],-6.636327973082625e-4,-4.8414018274128834e-4,0.004281417546237486,-0.007474714927354752,-0.004758811617856925,0.0037217111979949927,0.005515282500203736
alpha_pt_lag[3],0.005817604213842491,0.0056668122117672914,0.004436997491797665,-8.90018834276923e-4,0.001188623802473665,0.01074387531544796,0.013751645450992776
alpha_pt_lag[4],-0.004935949764151497,-0.0052357463542872795,0.005242546821735801,-0.012600966347588744,-0.009875435863591572,3.088368499047095e-4,0.004369831023834246
delta_pt_0,1.108091587034175,1.1096931018957572,0.051789760451001025,1.024113244055374,1.0547551188062345,1.1572149552066184,1.1846395073649205
delta_wage1_0,1.2080056937686798,1.2102721994959524,0.08487882046318569,1.0826029216778859,1.1138194091557585,1.3101918952062654,1.349937906316671
delta_wage2_0,1.3085165645200438,1.3069384163679176,0.041070377551365354,1.2407432602459516,1.2707045457083994,1.3491953277608868,1.3770814118951393
eps_pt,0.1574414700124,0.1563092279826852,0.012764118927416593,0.138761804503339,0.1447799808055673,0.17056756443765736,0.1809686236468628
eps_wage1,0.6982281342083959,0.6952139237086925,0.048732233975462565,0.6256690830785829,0.6513899194010271,0.7394621982427215,0.7820634820736104
eps_wage2,0.11341632828233189,0.11221611470404835,0.010176013375837593,0.09806920754000113,0.10333330494821905,0.12382902209747178,0.131298260669827
gamma_pt_0,-0.37737383069260394,-0.3834668183900387,0.2683712600537886,-0.8410551495602071,-0.6461004291424235,-0.09322746559367515,0.06868215793277173
gamma_pt_lag[1],0.2276317935895763,0.2131793118723817,0.316389349965227,-0.2510722763008996,-0.0880231381721956,0.5431198370377952,0.7384611894235554
gamma_pt_lag[2],-0.2814151941622972,-0.29635762302405894,0.34343127904603354,-0.8300699423342898,-0.6325503611178833,0.055832327325640495,0.35186626902529405
gamma_pt_lag[3],-0.22684005090063317,-0.220188601126395,0.3451573375115635,-0.820091496551099,-0.547369485018614,0.10337844900916879,0.3225932069181893
gamma_pt_lag[4],-0.41916965015571306,-0.4304611742362188,0.2793159212011881,-0.8858437847128324,-0.7098662318783163,-0.1272792544233543,0.029964508631702337
gamma_wage1_0,-2.4241970967191335,-2.47219843782925,0.7322745371104499,-3.5627542236804457,-3.2502776566810514,-1.6687924370108986,-1.1385363877889745
gamma_wage1_lag[1],-0.3510982299278962,-0.3871978769104437,0.6988686234802459,-1.4086355775509727,-1.0382035744606597,0.43634397537183106,0.7031211218676798
gamma_wage1_lag[2],0.5179050538916975,0.5534212481385854,0.6265830730328757,-0.6139359244534336,-0.20629985977559145,1.1658150315969449,1.5011226282110766
gamma_wage2_0,-0.304298916650734,-0.31932768899409114,0.30846310931295806,-0.791458433482348,-0.5965039607052232,0.002858791994609826,0.19226797098846388
gamma_wage2_lag[1],0.1731267638890393,0.1202250622258425,0.5592489749939903,-0.6842981646138273,-0.43035651029568645,0.8013403212385334,1.1294484499743718
gamma_wage2_lag[2],-0.7936206763464724,-0.7533225510233419,0.5230536659222527,-1.697273959087662,-1.3590332775567446,-0.26229791770339617,0.010954318533532827
lambda_pt_0,-0.08725290457630559,-0.0727544777777982,0.3534352754555547,-0.68056694053178,-0.4453192170925999,0.2714536798385029,0.45517554694424844
lambda_wage1_0,-3.237552008797664,-3.326603282955723,0.9264897026986764,-4.734160300448722,-4.050631417773555,-2.3642244884182015,-1.6964024748310502
lambda_wage2_0,-0.903477628822898,-0.8828389431004501,0.4909570471159143,-1.8521690245691809,-1.401896735700133,-0.35361039317647325,-0.1720386200981773
nhat_init,5.7552291657809365,5.747054680903253,0.1448225797677484,5.50465059932048,5.614036794574236,5.9186336990399395,5.983239699420448
phi_pt_0,-0.008145765871314724,-0.009169697478429162,0.017174744293616002,-0.032894514485375156,-0.025473438552303593,0.011828642069179274,0.019340424287878258
phi_pt_lag[1],0.007436863814493774,0.008771397037028228,0.018197826874082505,-0.023568228346179894,-0.011930921134392383,0.0281803143439914,0.035796691080710395
phi_pt_lag[2],-0.027245024765761534,-0.02704482821263357,0.01776960178916307,-0.05679239993187353,-0.04532744124826409,-0.009331057940752755,0.0028069586902583535
phi_pt_lag[3],0.014477925599015477,0.014713530291031951,0.018316255978144944,-0.014009208568020163,-0.004199295012603436,0.03218823000968549,0.043159579453256
phi_pt_lag[4],-0.014007965947715417,-0.014260420213987018,0.0180424178333909,-0.04442215036768122,-0.03202274571339754,0.004755654507789575,0.013865395436199239
pthat_init[1],0.7199658148451462,0.7172721144421501,0.15381114552693814,0.4727836888615075,0.5439510920859664,0.8725876306815685,0.9719244170700971
pthat_init[2],0.49414913194760046,0.4867824368611964,0.17680282627994448,0.17020459764182688,0.3238384130320736,0.6900590540105406,0.7644225838464809
pthat_init[3],0.5020161775134975,0.5028047140687936,0.17170337697407909,0.21259435995924764,0.33060108130856347,0.667024782036713,0.7910405242494764
pthat_init[4],0.3014470956883675,0.29289646827685845,0.1525488923663009,0.07386546619066124,0.13053268587218103,0.4680627423025008,0.5593356531278546
pthat_init[5],0.41101971826324474,0.4202741458792477,0.14997549089359066,0.16438696904606329,0.24020159073282035,0.5709006529719489,0.6210330434002028
pthat_init[6],0.5047283885004902,0.5016716915886273,0.15597508201003432,0.24224092213218512,0.35881497401698115,0.6617947592312415,0.7620608820811001
pthat_init[7],0.41722593130834523,0.43480432882007347,0.17679981781689563,0.13075624368723437,0.23877849966266057,0.5817456450371167,0.6918338466884802
tau,0.09388540626745667,0.09329477216893542,0.012098104387957194,0.0739832279160755,0.08227491776511021,0.10771932214043461,0.11126262904368533
wage1_init[1],-0.17803065618179453,-0.12195293663752083,0.6700345168884078,-1.245387038001267,-0.913030994994837,0.5113452845967082,0.9102681777177123
