parameter,mean,median,sd,lower5,lower15,upper85,upper95
alpha_pt_0,-0.002990958449870815,-0.002977911820878004,0.005238488063214034,-0.0115973157512461,-0.008397353382764514,0.0023863263592883706,0.005582883826412487
alpha_pt_lag[1],-0.005407041361517208,-0.005382621528664255,0.004757600727528072,-0.013229593520743488,-0.010308829771279013,-5.117307627726696e-4,0.002475561242419248
alpha_pt_lag[2],-0.0015960065520972699,-0.0016019868435237783,0.0046892160642386755,-0.009373954058451286,-0.0064312858095623236,0.0031885839576686874,0.006096985171045622
alpha_pt_lag[3],0.008870790338664041,0.008871538662355516,0.004811416361528923,0.001027401785133597,0.003895312176829623,0.013841743785244626,0.01679803158757517
alpha_pt_lag[4],-0.006524482875395433,-0.006559897845549445,0.00516663489759235,-0.014959865537429198,-0.01182491590655702,-0.001151624524114555,0.001967928932412138
delta_pt_0,1.1577648121377968,1.156011342781551,0.07154796346993675,1.0420461740990543,1.0847763993949469,1.2319230774186571,1.2768478300152466
delta_pu_0,1.3292803944385887,1.3260638579459545,0.05344733272108192,1.2455055166503926,1.27531406236942,1.384718644933684,1.4216343943297793
eps_pt,0.15118545998547656,0.1504515758112692,0.01313260929635335,0.13094894802676244,0.137725681090506,0.1647056887488556,0.17382108266379925
eps_pu,0.11213132896014148,0.1116393957080083,0.008578596223805088,0.0989289622618443,0.10336601715863004,0.1209312830935175,0.1269875961838408
gamma_pt_0,-0.47642114820167647,-0.4792639323970742,0.30963322400885857,-0.9795813319301283,-0.7946999531200533,-0.15770344184420343,0.03915863532801668
gamma_pt_lag[1],0.32312763762210256,0.34187896881569896,0.34358833880273437,-0.27398966724179935,-0.04193584646635046,0.6949380935861431,0.8609807891805791
gamma_pt_lag[2],-0.35290962163226386,-0.3523350905094145,0.37711514577258126,-0.9765565456559413,-0.7450810523519292,0.037035286910073746,0.2699437246159638
gamma_pt_lag[3],-0.3870607520966576,-0.38961037052310443,0.35630855544669454,-0.9717166521707611,-0.7576930909919685,-0.017380733471536073,0.1992649683473999
gamma_pt_lag[4],-0.5217532321013413,-0.5207162890768706,0.31355766476317704,-1.0361289702504404,-0.8450088401374458,-0.1980364959050255,8.901737605172259e-4
gamma_pu_0,-0.43033545021741315,-0.42876461383664166,0.28377438779445496,-0.901103008176547,-0.7204107852376299,-0.13951447542929432,0.036315031970791826
gamma_pu_lag[1],0.20247895318817447,0.1926977289936722,0.5233948714552089,-0.6460052109359855,-0.34071118667779343,0.7509018947743795,1.0803242414831433
gamma_pu_lag[2],-0.7023788980360768,-0.6832164103758858,0.4757428505914788,-1.5157025477796178,-1.206660279734984,-0.20982977319256108,0.044588036076341736
lambda_pt_0,-0.07048840066308387,-0.07051002110555535,0.3533904737115476,-0.6557231243383955,-0.4357612771132898,0.29966700702444016,0.5141272106721873
lambda_pt_lag[1],-0.4993733581796148,-0.5037911804318854,0.8665566722168123,-1.8497044368735696,-1.5472440758491495,0.549683528096205,0.8487183237810304
lambda_pt_lag[2],-0.4935913453493938,-0.4914373289656027,0.8667440302428832,-1.8483457469565472,-1.5428538311701863,0.5586442757920309,0.8546276318556855
lambda_pt_lag[3],-0.49912455656962773,-0.4992093175174542,0.8707201613794634,-1.854671224299274,-1.5524074786474258,0.5561649388097992,0.8507359928809093
lambda_pt_lag[4],-0.5012095243842756,-0.503269300091075,0.8654914891109993,-1.8453295721377887,-1.5524557868747078,0.5423575578817169,0.849054586788498
lambda_pu_0,-0.8190691899176278,-0.7849115553868325,0.4535254864300026,-1.6205179061124153,-1.3097341007420022,-0.3250455450337488,-0.13009410419116185
lambda_pu_lag[1],-2.9996940234459193,-3.014477239006461,1.7281658424883972,-5.695964041054161,-5.092842694088585,-0.8915057534652049,-0.3068724675059224
lambda_pu_lag[2],-3.009801704400755,-3.0043779425507404,1.7369407068903846,-5.709854978369559,-5.120048263784756,-0.9066945123312043,-0.29227459600983874
nhat_init,5.76689736858684,5.776098021934117,0.16463580800169147,5.483127003858164,5.592106056592584,5.944083360615195,6.023984918563665
phi_pt_0,-0.05935580768593512,-0.06070095563462907,0.14266034129917002,-0.29533690968119203,-0.20596971053672636,0.08986353788902725,0.17539477707413137
phi_pt_lag[1],-0.1297340405749235,-0.12947429225511045,0.14158347524055478,-0.36071557454794795,-0.2763898355416028,0.017329523737937308,0.10136611142405082
phi_pt_lag[2],0.05667450414955555,0.05572197403639001,0.13858582409902281,-0.1696676219660433,-0.08618907497414398,0.19958322282567595,0.2855963740037072
