parameter,mean,median,sd,lower5,lower15,upper85,upper95
delta_wage_0,1.4059422233960461,1.4116178488211393,0.060378525281172886,1.2852445458465533,1.3486686612041714,1.4667495885382438,1.4908023837828916
eps_wage,0.110223869223644,0.1096925455619156,0.009247880486387097,0.09593172813773802,0.10106440640966773,0.1198669264600532,0.12685062107667397
gamma_wage_0,-0.38028804066949295,-0.38250414073225136,0.29325269047420277,-0.8476155044806017,-0.6749982355465193,-0.07137237047285902,0.09306887221656811
gamma_wage_lag[1],0.2541363301440814,0.22954138385208467,0.5883319468496039,-0.6690277356946559,-0.3844192153658505,0.9080128756193857,1.239326918302946
gamma_wage_lag[2],-0.8144081271172289,-0.7919651862374415,0.5044731123650161,-1.6064486560929045,-1.3473714164439803,-0.2685851440612685,-0.02889362526366563
lambda_wage_0,-0.8224767436517424,-0.8308702287765619,0.44912982780951094,-1.5383040813864226,-1.33008475525334,-0.2958708781005493,-0.14438823179886065
nhat_init,5.639071927722363,5.64400558105568,0.18745787682978693,5.306389159103834,5.443426216100736,5.835100221008867,5.964423697721136
tau,0.09487479289593907,0.09547918527334404,0.013115854246834261,0.07352586659281997,0.08114494796277935,0.1087514071318632,0.11593202705546994
wage_init[1],0.887953828198539,0.8871032891295275,0.11711072163579718,0.7042658618514895,0.7686559697218389,1.0075992007753156,1.0566637921095383
wage_init[2],0.8901651282852339,0.8881713196624321,0.1036629032444308,0.7153651143347495,0.7728106026203652,1.0032239425749867,1.0640446020251704
wage_init[3],0.7327355855377008,0.7355866935109905,0.09616067879757842,0.5662556893592993,0.6375312997727896,0.8269247428632893,0.9030434914255455
wage_init[4],0.732556524174829,0.7296742441960306,0.09718766289813585,0.5815223585353475,0.6289370717242706,0.8391338229945128,0.8948612692287528
wage_init[5],0.71478984060986,0.704646685642275,0.10951139335160735,0.5339007288681271,0.6213020455093872,0.8282818669540882,0.8944099736820219
wage_missing,0.8423062552723052,0.840138642655268,0.10861734889369207,0.6768165126472344,0.7349046530421908,0.9570122923129579,1.017868948222909
xi_wage[1],-0.28246240870907663,-0.29130591552174634,0.14047510005304706,-0.504139503221747,-0.4288051913833816,-0.13159461419846608,-0.05583242612175589
xi_wage[2],-0.2794701807437866,-0.2814071212876016,0.14061992745042018,-0.5072948168894634,-0.41172822790230795,-0.1449817631857534,-0.04212515919796473
