model,date,variable,median,lowera,lowerb,uppera,upperb
CPI with AENA & WPI model,2006 Q1,NAIRU[34],5.189789603146712,2.905468128049182,3.622318429962268,5.6533265532847805,5.48487597822791
CPI with AENA & WPI model,2006 Q2,NAIRU[35],5.160715656819269,2.915197646698187,3.627726360554933,5.621669463897281,5.4526696785945745
CPI with AENA & WPI model,2006 Q3,NAIRU[36],5.122724228116572,2.7981152878108997,3.498044290402564,5.582833911673021,5.412848080167346
CPI with AENA & WPI model,2006 Q4,NAIRU[37],5.10240318565803,2.7071166244308187,3.391436426914063,5.562461750808961,5.391221375688563
CPI with AENA & WPI model,2007 Q1,NAIRU[38],5.0608005098421796,2.531613475328527,3.2075352008230444,5.513966051679159,5.347826760537723
CPI with AENA & WPI model,2007 Q2,NAIRU[39],5.017411048663263,2.363289054533193,3.039897770936024,5.470107771712313,5.303248042320002
CPI with AENA & WPI model,2007 Q3,NAIRU[40],4.984452333263675,2.363762924288743,3.0320711903798654,5.4339631139940305,5.266602423103285
CPI with AENA & WPI model,2007 Q4,NAIRU[41],4.943970789734654,2.269424560061334,2.9439945484630083,5.389886336148134,5.225843781978389
CPI with AENA & WPI model,2008 Q1,NAIRU[42],4.902273073012649,2.2043282237910953,2.887191841937122,5.346932464506532,5.183027982929818
CPI with AENA & WPI model,2008 Q2,NAIRU[43],4.862766659238585,2.140021455994694,2.866719404651417,5.307427480045125,5.140738659053585
CPI with AENA & WPI model,2008 Q3,NAIRU[44],4.8270047987802736,2.2730595161048655,3.0292619699400682,5.271642531357411,5.1080952325925875
CPI with AENA & WPI model,2008 Q4,NAIRU[45],4.778636334911479,2.4709655498547054,3.2751403791841316,5.224358678461015,5.06104854892914
CPI with AENA & WPI model,2009 Q1,NAIRU[46],4.7535344571528775,2.6817688550015593,3.5424221700067333,5.202562295620261,5.03726708314841
CPI with AENA & WPI model,2022 Q4,NAIRU[101],4.253074640960865,2.8982412530121566,3.497741996580844,4.631128342360403,4.48943486313526
CPI with AENA & WPI model,2023 Q1,NAIRU[102],4.31515575230881,2.692201291162861,3.288793295098854,4.697067906105353,4.555090833766526
CPI with AENA & WPI model,2023 Q2,NAIRU[103],4.331272112942062,2.2718174281608183,2.8155944023916533,4.710976934407677,4.571584723441774
CPI with AENA & WPI model,2023 Q3,NAIRU[104],4.346643293154262,2.0063930090070508,2.5358043707317397,4.731234480794621,4.589077949894642
CPI with AENA & WPI model,2023 Q4,NAIRU[105],4.353542567143313,2.0378893977684873,2.5775478208641087,4.74418858604359,4.597437892766656
CPI with AENA & WPI model,2024 Q1,NAIRU[106],4.344613832069218,2.0913080575823164,2.625791562248758,4.735622912673413,4.591558581996013
CPI with AENA & WPI model,2024 Q2,NAIRU[107],4.361783690538497,2.147863890788819,2.706732137533112,4.753151144199983,4.611184544489169
CPI with AENA & WPI model,2024 Q3,NAIRU[108],4.395159967706043,2.230717692928787,2.811390764223385,4.795743956556075,4.647496545563922
CPI with AENA & WPI model,2024 Q4,NAIRU[109],4.411674191298743,2.2247502951742546,2.8056484337239533,4.82367445613104,4.67232281996646
CPI with AENA & WPI model,2025 Q1,NAIRU[110],4.427261586168823,2.2058400238416582,2.801056519454529,4.86083807209707,4.698526285493241
CPI with AENA & WPI model,2025 Q2,NAIRU[111],4.431360415416302,2.1918852534563347,2.8176777443589485,4.889669956467326,4.7212681208641465
CPI with AENA & WPI model,2025 Q3,NAIRU[112],4.4393977300298415,2.15629781660222,2.825538558710729,4.9279667556612186,4.750287914870063
CPI with AENA & WPI model,2025 Q4,NAIRU[113],4.443943730463904,2.1225625938207893,2.867167918453356,4.96062401552396,4.774798344740406
"CPI with ULC, AENA & WPI model",2005 Q4,NAIRU[33],5.340421116753989,2.964252534623628,3.7164410961768124,5.731011432864641,5.588779336688363
"CPI with ULC, AENA & WPI model",2006 Q1,NAIRU[34],5.291417739603823,2.876684601804656,3.619384918275062,5.6775764564774835,5.538740394874518
"CPI with ULC, AENA & WPI model",2006 Q2,NAIRU[35],5.253478178523684,2.863980590342978,3.60046833277051,5.640095639492325,5.49881717580121
"CPI with ULC, AENA & WPI model",2006 Q3,NAIRU[36],5.209824344052274,2.7331541785660525,3.482485578633569,5.59721759089565,5.455704679985898
"CPI with ULC, AENA & WPI model",2006 Q4,NAIRU[37],5.190007632206028,2.651955920892538,3.38409062081879,5.5832526008207255,5.436756104130799
"CPI with ULC, AENA & WPI model",2007 Q1,NAIRU[38],5.145990167533423,2.5195581692247124,3.2371171590123926,5.534031691969598,5.388443598564612
"CPI with ULC, AENA & WPI model",2007 Q2,NAIRU[39],5.099985933194862,2.424559209556825,3.1047353802313795,5.484361774315336,5.340105587345689
"CPI with ULC, AENA & WPI model",2007 Q3,NAIRU[40],5.063382099550231,2.444181291448672,3.124009148634813,5.443693330665857,5.30298386189726
"CPI with ULC, AENA & WPI model",2007 Q4,NAIRU[41],5.02228492846076,2.405726045312323,3.0938268924635057,5.397239687087486,5.259012792481636
"CPI with ULC, AENA & WPI model",2008 Q1,NAIRU[42],4.982389162782017,2.3730080943637795,3.1034609849237103,5.355704536591874,5.217334373904519
