date,quarter,model,median
1997-11-15,1997-Q4,CPI & AENA model,5.711451988482972
1997-11-15,1997-Q4,CPI & ULC model,5.752435273202287
1997-11-15,1997-Q4,CPI & WPI model,5.831509031406961
1997-11-15,1997-Q4,CPI with AENA & WPI model,5.790294997616419
1997-11-15,1997-Q4,WPI-only model,5.679716635628385
1998-02-15,1998-Q1,CPI & AENA model,5.745859644314809
1998-02-15,1998-Q1,CPI & ULC model,5.788848021620842
1998-02-15,1998-Q1,CPI & WPI model,5.895301958997358
1998-02-15,1998-Q1,CPI with AENA & WPI model,5.843233062766137
1998-02-15,1998-Q1,WPI-only model,5.7109019803801395
1998-05-15,1998-Q2,CPI & AENA model,5.776900788536226
1998-05-15,1998-Q2,CPI & ULC model,5.825344845317463
1998-05-15,1998-Q2,CPI & WPI model,5.959101626785886
1998-05-15,1998-Q2,CPI with AENA & WPI model,5.894148100304795
1998-05-15,1998-Q2,WPI-only model,5.738054916360165
1998-08-15,1998-Q3,CPI & AENA model,5.811036822748566
1998-08-15,1998-Q3,CPI & ULC model,5.861316423749209
1998-08-15,1998-Q3,CPI & WPI model,6.0225699664822905
1998-08-15,1998-Q3,CPI with AENA & WPI model,5.947568113813721
1998-08-15,1998-Q3,WPI-only model,5.770055201203688
1998-11-15,1998-Q4,CPI & AENA model,5.839661389547258
1998-11-15,1998-Q4,CPI & ULC model,5.892555353872886
1998-11-15,1998-Q4,CPI & WPI model,6.069258802948033
1998-11-15,1998-Q4,CPI with AENA & WPI model,5.98408129826278
1998-11-15,1998-Q4,WPI-only model,5.788846391483899
1999-02-15,1999-Q1,CPI & AENA model,5.865648015280193
1999-02-15,1999-Q1,CPI & ULC model,5.9281009530053215
1999-02-15,1999-Q1,CPI & WPI model,6.113284868934921
1999-02-15,1999-Q1,CPI with AENA & WPI model,6.018476100000088
1999-02-15,1999-Q1,WPI-only model,5.808757831530858
1999-05-15,1999-Q2,CPI & AENA model,5.888555218510904
1999-05-15,1999-Q2,CPI & ULC model,5.957329266613643
1999-05-15,1999-Q2,CPI & WPI model,6.143395272730977
1999-05-15,1999-Q2,CPI with AENA & WPI model,6.049830210585672
1999-05-15,1999-Q2,WPI-only model,5.827183872081856
1999-08-15,1999-Q3,CPI & AENA model,5.9136935457595445
1999-08-15,1999-Q3,CPI & ULC model,5.988415111053351
1999-08-15,1999-Q3,CPI & WPI model,6.189369553429021
