parameter,mean,median,sd,lower5,lower15,upper85,upper95
<<<<<<< Updated upstream
aena_missing,0.805437790282077,0.8053309119065387,0.6577475263885407,-0.2781651817586881,0.12704663218672496,1.4845404739217996,1.8833480498087085
alpha_pt_0,-0.0020686613417735113,-0.0020799205011408084,0.005246452561170176,-0.010660750669082435,-0.007504300749323412,0.0034036091012612226,0.0065450178676284545
alpha_pt_lag[1],-0.004322502361838487,-0.004371204741610207,0.004788555683603162,-0.012206082363211454,-0.009239447070871631,6.30257424559882e-4,0.0036002392197926436
alpha_pt_lag[2],-0.001212842071772515,-0.0012336764971729308,0.004687187105951846,-0.008950945880108467,-0.006033766730341639,0.003650737204500507,0.006541711994379006
alpha_pt_lag[3],0.007169441865274154,0.007148406631743209,0.004670055699925401,-5.602245627027545e-4,0.0023809404309085343,0.012003719175937132,0.0148750380342792
alpha_pt_lag[4],-0.005339370077718348,-0.005366544965313025,0.005163548242818152,-0.01378354750426232,-0.01065407019636967,3.578011987252868e-5,0.0031194604525276387
delta_pt_0,1.1519175902782717,1.1506797638339736,0.07087581281503924,1.0377889157527205,1.079677190258658,1.2250492847124308,1.2710071500485587
delta_pu_0,1.5089907607841444,1.508734287255058,0.08656464426320858,1.3675837669989768,1.4199798384827191,1.5984874082768956,1.6516996569168936
eps_pt,0.15575616722860475,0.1548219683913865,0.0137380010669327,0.13502511024760364,0.14164741292516567,0.16990092942449775,0.17964781087810197
eps_pu,0.8561963785065012,0.8524305566410233,0.06129682901635984,0.7626580225768317,0.7938453448676878,0.9198855222603054,0.962698486182561
gamma_pt_0,-0.502479006648128,-0.5031442384657386,0.3076083564534317,-1.0025560297996974,-0.8215876784697479,-0.18203362449449761,0.001732486343465624
gamma_pt_lag[1],0.24549074133175725,0.25366858516789076,0.3496870788346027,-0.3539600902956213,-0.12056410076340249,0.6227635798056665,0.8092439819629058
gamma_pt_lag[2],-0.2588160396360969,-0.26140159084326475,0.36572564119617623,-0.8518009880342794,-0.6355681683570175,0.12175984471789097,0.3498337362901227
gamma_pt_lag[3],-0.19777198100615623,-0.19778723495461575,0.35574388169462834,-0.7859628490447362,-0.5677015234735592,0.17056216589453707,0.38141412617122167
gamma_pt_lag[4],-0.3825058256153211,-0.38247105042981155,0.29886448931280796,-0.8707949764101759,-0.693930838195526,-0.07506147103593419,0.1118215702335275
gamma_pu_0,-1.0543167576333234,-1.052756233538719,0.7468149733717854,-2.29477992856121,-1.8316680050090128,-0.26795745161612355,0.17775597128661047
gamma_pu_lag[1],-0.19923954048875545,-0.19416617895929378,0.7967527163889886,-1.518499592419015,-1.0376796008945919,0.6383276160537886,1.1152345583006527
gamma_pu_lag[2],-0.010066238842706382,-0.00981077207502945,0.7413065200374057,-1.2326311060758275,-0.7907831006511636,0.7773982594776316,1.208775248221159
lambda_pt_0,-0.17107946006392208,-0.1690682252414594,0.36919351278503826,-0.7830788965819355,-0.5546566984731858,0.2136345976706644,0.43725967724823467
lambda_pt_lag[1],-0.5020019782315986,-0.5065773839440659,0.8650492846721541,-1.8491405050281409,-1.5523593451830635,0.5485223979982282,0.8410048516705411
lambda_pt_lag[2],-0.49935320935531435,-0.49996044120901184,0.8646837873315959,-1.850042118938861,-1.5466084001297804,0.5500533326258638,0.8500203224848915
lambda_pt_lag[3],-0.4987953966689823,-0.506837882308246,0.8652687513238617,-1.8423848838309034,-1.5429057306467884,0.5584712106837089,0.8487535100273942
lambda_pt_lag[4],-0.49560402370731693,-0.4939811055551163,0.8616849197369981,-1.844461986963357,-1.5410411683715817,0.5457320229248404,0.8489177845550789
lambda_pu_0,-2.6800566387924762,-2.675515794615791,0.8891347591882779,-4.142853247431157,-3.6147714437234497,-1.7484616134921458,-1.2092411276388515
lambda_pu_lag[1],-3.007482908434871,-3.0122736427290366,1.7462407611534536,-5.700542733813107,-5.1325900282683685,-0.8864323537429317,-0.2998616572294996
lambda_pu_lag[2],-2.997384831464328,-2.9932420623962788,1.7412951616647647,-5.713642865391722,-5.102443110754348,-0.8717181799737516,-0.2828410401146995
nhat_init,5.670525072370331,5.673925982608722,0.17912675744658133,5.369268092674463,5.4816872834799,5.859370267668886,5.964730203678317
phi_pt_0,-0.0011755239637895553,-0.0011937137528095776,0.01623920908037537,-0.027510288549391047,-0.017877363547860244,0.015640567397867365,0.025528953350014785
phi_pt_lag[1],0.022253670864985527,0.022197194862115577,0.016505755749653097,-0.0046945474367191065,0.005291744649519952,0.03923499950229765,0.04937926654125571
phi_pt_lag[2],-0.013959783519547886,-0.013983591137540746,0.01692828799920855,-0.04192282402943047,-0.031367531608178165,0.0033701689787172468,0.013895432178190118
phi_pt_lag[3],0.011197567890970308,0.011135883774992195,0.016251879891881857,-0.015424484280134088,-0.005642775649306442,0.02814635215451239,0.037908374302661654
phi_pt_lag[4],-0.017307318866917956,-0.01743554263605232,0.015947964703197284,-0.043391697749022726,-0.033667746144820834,-7.705676637666964e-4,0.008925725504557296
pt_residuals[100],0.07393760343648748,0.07439706459346018,0.09707929269900017,-0.08436897843858697,-0.026487182122509726,0.17298110446981763,0.23331581274863428
pt_residuals[101],0.04082834704839736,0.040743497995845646,0.09792324020732084,-0.11794731424154113,-0.06013938649945024,0.14222408739455616,0.20168451073798574
pt_residuals[102],-0.14175642391307167,-0.14374490584263855,0.10949143128686656,-0.32058675539276793,-0.2548894525703287,-0.02843749418166614,0.03969023241654423
pt_residuals[103],0.07280965281038489,0.07377959867427664,0.07784340354158616,-0.05527150565510492,-0.00756629819098743,0.15269905868397754,0.20008394559172601
pt_residuals[104],0.21232763468226518,0.2119377571046347,0.0767730856615049,0.08628926570171579,0.13318794561799413,0.2916803623641688,0.3392515731490589
pt_residuals[105],0.0413396490194719,0.04183344378538484,0.07827060776931365,-0.08744875655147241,-0.039149614709841116,0.12170757492951477,0.17107458058848243
pt_residuals[106],0.05517684809350629,0.0548309000405921,0.07831461809218944,-0.07388603537196499,-0.025768797011250476,0.13652792722739418,0.18294520377079698
pt_residuals[107],0.017874952596998582,0.018042473423917016,0.07662411371469759,-0.10754259511480663,-0.0602664328442034,0.09685322951147803,0.14350137480102615
pt_residuals[108],0.0029530206088633597,0.0031427554945686054,0.07319217072948908,-0.11721113953439112,-0.07311020207698904,0.07831400357433393,0.12367007235512319
pt_residuals[109],-0.19634021123856654,-0.1954138682989745,0.07110483365204867,-0.31283481511546263,-0.2701889157788082,-0.12275800914788833,-0.07966470364355493
pt_residuals[10],0.11494320566161273,0.11495677306787272,0.05743860336746477,0.021668051669803564,0.05521898037719625,0.17443132819600118,0.2098662874771044
pt_residuals[110],-0.06471984544078901,-0.06482799409737955,0.058474501417014844,-0.1599815646734427,-0.12570489637884516,-0.004398078035475132,0.031633543108683874
pt_residuals[111],-0.08059013789009856,-0.08036142064647223,0.06005781287275085,-0.1798009287434781,-0.14299111179850538,-0.01825328559183861,0.01712299889616614
pt_residuals[112],0.2757617984990587,0.2764495940569885,0.05958961350201792,0.1772768644663853,0.21450038414273126,0.3370750712258628,0.3727147163729177
pt_residuals[11],-0.11584935247534903,-0.11555027408286778,0.05354639097591665,-0.20398867148268404,-0.17129325781115626,-0.06090688928398375,-0.028417013032075042
pt_residuals[12],0.00810560813493113,0.008322424853286492,0.06602018310359553,-0.09991934836148984,-0.06004163068584882,0.07613500295251563,0.11717380947032446
pt_residuals[13],-0.0018870350416014185,-0.002486379524831439,0.06489730354456295,-0.108229729448479,-0.06844577031961893,0.06488306135397019,0.10496658250338525
pt_residuals[14],0.3752045948876706,0.374784158831893,0.07167251515239101,0.25852458719479593,0.3019828572828325,0.44926757680343565,0.49269293332973285
pt_residuals[15],0.17224148498085767,0.17192711267000893,0.0713368228500297,0.05488468692072371,0.09794515573650422,0.2461083726238156,0.28952084191933886
pt_residuals[16],0.07249800029348659,0.0714047303877553,0.07363050001231122,-0.04767384125485303,-0.0029291264738611823,0.14867267058672295,0.19542782164888375
pt_residuals[17],0.3111892518708495,0.3120966643629425,0.06366908591672525,0.20700719897770622,0.24464599636319817,0.37655678030715545,0.4155251972856519
pt_residuals[18],0.12971330064801384,0.12964864760306843,0.05894437016124477,0.03245219197474272,0.06929321755897755,0.190185302563481,0.2264847134422344
pt_residuals[19],0.01584408685093409,0.01602916890190159,0.045577020486999055,-0.058971681113323765,-0.03115114614421179,0.06265352837289115,0.09073629801249578
pt_residuals[1],0,0,0,0,0,0,0
pt_residuals[20],0.12323585197621885,0.1232325732217584,0.053137953752081024,0.03702197530430069,0.06816205213004908,0.17797824675289708,0.21044740868590378
pt_residuals[21],0.0585293531061454,0.05816399308372455,0.05206288194573438,-0.02621899113488619,0.004826742990023836,0.11210612776955926,0.14480555103039697
pt_residuals[22],0.1886988491805834,0.1878856841402753,0.05583522241338046,0.09826230270003955,0.13161898001537992,0.24631657390229753,0.279579637867451
pt_residuals[23],-0.0821024861472031,-0.0824758083998634,0.05511813511865432,-0.1714477293252154,-0.13905484788448738,-0.024545291499390907,0.008110208633022444
pt_residuals[24],0.036093806603090306,0.036332035612013036,0.0556065166980117,-0.05459039612205617,-0.02085567294465281,0.09310843801812517,0.12788833580626197
pt_residuals[25],0.05260229111903168,0.053244923484031204,0.04397387860345684,-0.021687488549860336,0.007660176182788946,0.09795534484415744,0.12369141135521376
pt_residuals[26],0.006027903884853302,0.006223863045849931,0.046862705234454204,-0.0709230565902654,-0.04236619595673069,0.054145498088789164,0.08262906983010423
pt_residuals[27],-0.11685756179289332,-0.11656362250235541,0.04190067787727332,-0.18623474973828838,-0.16021954183371323,-0.07362410861092146,-0.048368945906897186
pt_residuals[28],-0.04041252809509453,-0.040250509769162,0.048055613213192475,-0.11962859557041737,-0.0898043554513816,0.008737949171752975,0.03802152282405525
pt_residuals[29],0.10787811831737594,0.10744762111968487,0.052550892445951056,0.021920565577777797,0.0531668209869077,0.16184326466412588,0.19450837741857965
pt_residuals[2],0,0,0,0,0,0,0
pt_residuals[30],-0.12003591485978925,-0.12017445307624719,0.05410019794201696,-0.20936866143697028,-0.17586848271025146,-0.06415926654507621,-0.030988695610937568
pt_residuals[31],-0.16803379194252263,-0.16828776421961616,0.05559358151903,-0.25877383441242036,-0.22516043350116288,-0.11033478047320171,-0.07673716316678117
pt_residuals[32],-0.15067734764827095,-0.15039488240421495,0.056992660605349264,-0.24466885848590947,-0.20965986021110278,-0.09164472444170042,-0.05726184958299271
pt_residuals[33],-0.019180263418270636,-0.01892121222562243,0.053173884396014004,-0.10730100178792548,-0.07403571001614886,0.03530779410621189,0.06813998808395198
pt_residuals[34],-0.024103328333980396,-0.024121579101393065,0.05168424715760483,-0.10877650655410816,-0.07813535982620264,0.02942380049407355,0.06031798261863103
pt_residuals[35],0.044089458890074554,0.04364595250746833,0.05263277757781013,-0.04128494235029996,-0.010276121197439115,0.09877884464654496,0.13146301500359897
pt_residuals[36],-0.1508139104213536,-0.15050383573671694,0.051246898854939674,-0.23525689707464006,-0.20429828624669208,-0.09820695554898622,-0.06624089137385905
pt_residuals[37],-0.19195947248368903,-0.19151710382234588,0.0493754316047766,-0.27334017290920504,-0.24328425490035724,-0.1414801995652435,-0.11005699008011613
pt_residuals[38],-0.24549241967839208,-0.24550593694513656,0.05554658782542994,-0.3375251046155554,-0.3025588375686651,-0.18866815143234034,-0.15354917297340517
pt_residuals[39],-0.011338997942808559,-0.011647319514783538,0.05892513876440531,-0.10777016620340331,-0.07248980315465178,0.049669655710709255,0.0858227442820296
pt_residuals[3],0,0,0,0,0,0,0
pt_residuals[40],-0.003905056573346503,-0.003990664120015308,0.0637713784914732,-0.10847912006229801,-0.06966489037179698,0.061923276330658826,0.10069952930509947
pt_residuals[41],0.2181084811105999,0.21866228989296543,0.06128438942238637,0.11688573907598702,0.1546720440232361,0.28153156439718885,0.31760728609592487
pt_residuals[42],0.1651545708180707,0.16554909591092154,0.06553236054551136,0.05649191738383572,0.09738845790487181,0.23292709787887794,0.2731132864492967
pt_residuals[43],0.2455871851968479,0.24630385278847844,0.05702522445618691,0.1510122673156835,0.1864741555381236,0.30483254495690887,0.3385725598735344
pt_residuals[44],0.2296998085112175,0.2299976462507355,0.0587975677061652,0.1323739647292016,0.1686570509856272,0.2909763646097404,0.32524772351603704
pt_residuals[45],-0.19551799240939635,-0.19508100246962573,0.05658222278952189,-0.2888257161997799,-0.25387185701840276,-0.13708863401388083,-0.10383423923150714
pt_residuals[46],0.14471487913771142,0.14476795166610462,0.09489871675694829,-0.00964948341494018,0.04723562284602386,0.2420334010984786,0.3014143471710023
pt_residuals[47],-0.006173681118027631,-0.00627760410622813,0.09691835272619258,-0.16612232127260393,-0.10605755476982287,0.09417303229133514,0.15280980063214028
pt_residuals[48],-0.004196504674871333,-0.0037582910958351423,0.09866352345993143,-0.16482786671140162,-0.10611474468535823,0.0972334863486859,0.15809052534931756
pt_residuals[49],-0.05071015394914275,-0.05069520325674659,0.09808002551397825,-0.21102437117338851,-0.1512659479145631,0.050214081597373166,0.11020342800358497
pt_residuals[4],0,0,0,0,0,0,0
pt_residuals[50],0.12988052709556153,0.12972096412618578,0.10149417781274997,-0.036235163586178495,0.025671003688646186,0.2345548968635106,0.2969419211100532
pt_residuals[51],-0.2788958616536653,-0.27851192215331116,0.09658676698657198,-0.4376852262143163,-0.37838595527721647,-0.17907871536062828,-0.1206460840779577
pt_residuals[52],-0.035574144028280255,-0.034615474846720506,0.09346520955342524,-0.18993044038521623,-0.1325937977288889,0.06021083637886916,0.11743338116843353
pt_residuals[53],-0.12576185092773418,-0.12598347777985042,0.09534452623505896,-0.28297864876133705,-0.22306065869684122,-0.02744387691316704,0.029694227605552508
pt_residuals[54],0.037508191074084006,0.03851304511217424,0.1030867992550041,-0.1322212128137358,-0.06915562658896941,0.143358107618868,0.20627791250119915
