parameter,mean,median,sd,lower5,lower15,upper85,upper95
alpha_pt_0,-0.0024187149161134943,-0.0024721829772778037,0.0052192617835593895,-0.011053491261301049,-0.007783547561107942,0.0029792591007609254,0.006203602224933256
alpha_pt_lag[1],-0.004737182052394967,-0.004753339900805648,0.004818983136229766,-0.012662219514123163,-0.009719811240090843,2.9444381690141964e-4,0.00315027459280433
alpha_pt_lag[2],-0.0014650136097905473,-0.0014334290583727094,0.004697839305718935,-0.009143046404718946,-0.006312798385365662,0.003364978783528148,0.006288574150528214
alpha_pt_lag[3],0.006944016109496711,0.006916285146876755,0.004733626387958191,-8.039777939342266e-4,0.0020896131285716266,0.011801396008240555,0.014810414262423948
alpha_pt_lag[4],-0.005651489668661554,-0.005656292795958612,0.005144183283484467,-0.014010538060993425,-0.010986055603231074,-4.1116445173132086e-4,0.002870159089500307
delta_pt_0,1.1439429823895915,1.1430930536196808,0.0598697160353149,1.0450651347608015,1.081242273787158,1.2063164590093907,1.2432067170792174
delta_wage1_0,1.5661422543678087,1.5689654774959447,0.154869921547315,1.3052930840461971,1.4018200049309326,1.7345297954254084,1.8180457006897572
delta_wage2_0,1.362074666536986,1.3623169278714022,0.05609426643530077,1.269757910951515,1.3034795758080866,1.4205241184853918,1.4548639822408218
eps_pt,0.15642347728345452,0.15561485026325583,0.012819681030860893,0.1368159246405297,0.14334820131764367,0.1696641108602806,0.17880460142705681
eps_wage1,0.8499041234781533,0.8466966385382866,0.060188310263201504,0.7580522573686566,0.7881759108857052,0.912162696695482,0.9550799016729039
eps_wage2,0.11232523404558817,0.11175768619933671,0.008754510193862084,0.09888461768169096,0.1034165248768535,0.1214217745044549,0.1274903601304494
gamma_pt_0,-0.39221327575237447,-0.39304725411465774,0.30723385995352975,-0.8979132092500609,-0.7121783969567728,-0.07010657804358875,0.11360145391134147
gamma_pt_lag[1],0.26510799314607647,0.2771011246678104,0.346701464926924,-0.3350636666769058,-0.10267703675807627,0.6364544300697815,0.8169814098142648
gamma_pt_lag[2],-0.26168114829798544,-0.2622006723497879,0.36541053854197003,-0.8618027235651243,-0.6392586872980365,0.11800409475849208,0.3476866772597345
gamma_pt_lag[3],-0.22664136219367548,-0.22814373624245615,0.35353682369321066,-0.8062630941360521,-0.5954601779325185,0.14098979119355542,0.355309897929093
gamma_pt_lag[4],-0.40702550095477297,-0.4090714005624765,0.2976880953353177,-0.8935059455147447,-0.7102254777972669,-0.09515466003218241,0.08731542102030608
gamma_wage1_0,-1.1068763972145952,-1.1056568838065122,0.7585974613144947,-2.364525086491098,-1.8928361514233631,-0.3090122612253655,0.139425435270834
gamma_wage1_lag[1],-0.2752700589199086,-0.2739196114053257,0.7959115344276586,-1.5995201952650107,-1.105194204709143,0.5620271110426434,1.0237071466390502
gamma_wage1_lag[2],-0.04997529225311905,-0.04730133245173629,0.7412852352425557,-1.273273665892849,-0.8225798131997639,0.7344778442859471,1.1739597384268878
gamma_wage2_0,-0.3734038549280592,-0.3703150008329904,0.2995309499191339,-0.8739511748046607,-0.6822322963111888,-0.06373100658274368,0.11566745484571506
gamma_wage2_lag[1],0.16475039788705106,0.15529913019003194,0.5337005549645625,-0.699740548605048,-0.3927070386553357,0.7185532630820904,1.0687279358877961
gamma_wage2_lag[2],-0.7511643763956815,-0.7232617652226087,0.4901234893254181,-1.591824842141591,-1.2732125086076547,-0.23898656743774954,0.009549574746635522
lambda_pt_0,-0.113663386242007,-0.11087914862541634,0.3638752973975194,-0.7130690410677244,-0.4933631340807254,0.26797180152112815,0.4908054020543656
lambda_wage1_0,-2.668478211953305,-2.6685473088646963,0.8908015243646232,-4.130924357933562,-3.5961917355128343,-1.7347517301476314,-1.1914983612882564
lambda_wage2_0,-0.8072199190967815,-0.7716685711243986,0.4579496543235697,-1.624107449788308,-1.2951516144563757,-0.30870662218752304,-0.12225312437847126
