parameter,mean,median,sd,lower5,lower15,upper85,upper95
alpha_pt_0,-0.0019763024570042284,-0.001981395513765777,0.0053214975812116445,-0.010630832398424384,-0.007454628806045205,0.003494227272586357,0.006735874781777822
alpha_pt_lag[1],-0.005134250726231979,-0.005101377376049487,0.004891010347092757,-0.013258338671361397,-0.010195322360847707,-1.0042138394361145e-4,0.002865786637865362
alpha_pt_lag[2],-7.200821521752494e-4,-6.936744892136748e-4,0.00471797973256222,-0.008462013615584274,-0.0055798959291087965,0.004151476514081155,0.00701103092330495
alpha_pt_lag[3],0.0063844342753146205,0.006335791348435815,0.004715206402327803,-0.0012569337752546788,0.0014793357561448338,0.011303987441662217,0.014071881851784648
alpha_pt_lag[4],-0.005734550122089518,-0.005757295027179615,0.005152610508448628,-0.014130260007309017,-0.011075926001356647,-4.936726265865403e-4,0.0027285504429408465
delta_pt_0,1.1107971035651107,1.109552673737801,0.050808909786099594,1.029908977965499,1.0589830658930999,1.1627066948802962,1.1965483628482863
delta_wage1_0,1.1966367734658083,1.1965794962631313,0.08453391743799815,1.0572063172653456,1.108990788558112,1.2828638243813348,1.3362622517010168
delta_wage2_0,1.324515067784094,1.32311505631407,0.04478980055782312,1.2532613894089113,1.2790365446528411,1.3709612767963044,1.4001116135279281
eps_pt,0.15626895045506312,0.15541911674206857,0.01268406950629031,0.13684708461070452,0.14324382103467384,0.16943750217577072,0.1782152442061325
eps_wage1,0.6952213855361185,0.692725662615095,0.04992020822551814,0.6179202212159954,0.6440365081086661,0.7462563219144165,0.7812737864709348
eps_wage2,0.11369558857654229,0.11315759456092349,0.008905830846935633,0.0999269800781293,0.10456473778588896,0.12298198429943674,0.12926827723059503
gamma_pt_0,-0.4104331955241808,-0.4142629069112942,0.29781188034505945,-0.8891719267791489,-0.7193532134516164,-0.09826193647808344,0.08373436760777417
gamma_pt_lag[1],0.24872995612608312,0.2566269933353259,0.34788549034496286,-0.3400721716456412,-0.11987573587725932,0.6237605047293144,0.8088588825042131
gamma_pt_lag[2],-0.3253519162751684,-0.32686954924040773,0.370184248315275,-0.9335558371844983,-0.7085103289615376,0.058943549079319306,0.28631230824203263
gamma_pt_lag[3],-0.23553517821192368,-0.23267340075049747,0.35784828145132025,-0.8234607028264582,-0.6077058899583464,0.13541638710062198,0.35420102099352274
gamma_pt_lag[4],-0.35810092371808255,-0.3593240293710688,0.29508082421219534,-0.8404444191288365,-0.6666822543251294,-0.04876405740188552,0.12679489178482825
gamma_wage1_0,-2.345305443446045,-2.352757399048703,0.7332270091715469,-3.556838659091455,-3.09676891017528,-1.5835720384148302,-1.1338833743622165
gamma_wage1_lag[1],-0.4104866527104668,-0.41454084604516506,0.7882462346855582,-1.7190969299554193,-1.2246454742648305,0.41460451934609033,0.896463824863284
gamma_wage1_lag[2],0.5604191224183069,0.5789944370130029,0.6795192500558648,-0.5985178724856872,-0.1633516842824901,1.291615900982722,1.658800700864801
gamma_wage2_0,-0.3667404756724464,-0.36593455753434256,0.29360436163696707,-0.8507658644073683,-0.6664618562436603,-0.06544830992496993,0.11766705919779535
gamma_wage2_lag[1],0.21896682256358907,0.2122176401846111,0.5304985930273054,-0.6355709219035345,-0.3329779790202763,0.7741188214002034,1.1114688744895207
gamma_wage2_lag[2],-0.8181592272943669,-0.7984481718994599,0.48657303633937155,-1.6567043053523733,-1.3370895909074174,-0.30720947754527966,-0.05932139881088988
lambda_pt_0,-0.026890259089482733,-0.024288155459077143,0.3722379331095484,-0.6406633501713763,-0.4168879593992076,0.36649717787445885,0.5874961459659953
lambda_wage1_0,-3.4634783609865165,-3.464383850806887,0.8430279959228428,-4.852116851317723,-4.345513988876583,-2.5833582181557695,-2.0804687136393922
lambda_wage2_0,-0.8624693225502507,-0.8316117325419926,0.46979725297446084,-1.6816851912317872,-1.3680304265562162,-0.34969482510962324,-0.14347528199543746
nhat_init,5.766565065306096,5.77433316146887,0.16332130861903887,5.4833517174946556,5.590913813455449,5.941923775395592,6.024088284007921
phi_pt_0,-0.016357261065604957,-0.01645472158544506,0.018794813402303365,-0.04715510024583031,-0.03566076102212011,0.0030648410423947197,0.01475408470628773
phi_pt_lag[1],0.00597048869695086,0.0057493272225859204,0.01824672898713604,-0.023800320760336936,-0.012898400973299945,0.024776135284757535,0.0360630193990859
phi_pt_lag[2],-0.029252653413655506,-0.029256269600972412,0.017709454892422778,-0.05836454152515369,-0.04744745830773705,-0.01120863139612867,-2.684261251954934e-4
phi_pt_lag[3],0.01343173207997027,0.013350766446688811,0.0184084166368583,-0.01682568574831896,-0.005451190617905208,0.0322607261593241,0.043786604435485474
phi_pt_lag[4],-0.013892697728847807,-0.013901608486435513,0.01743972927880447,-0.042338773690041916,-0.031903625267888265,0.004120223209213874,0.014871223697574043
pthat_init[1],0.7043076851292244,0.7054183873125301,0.15402976856024972,0.44921103100885446,0.5449192089040708,0.8628012730810589,0.9562141517329644
pthat_init[2],0.5070426939346869,0.5069660287908794,0.1549109109893386,0.2522617610656872,0.3478621894659164,0.6663688826230613,0.7604777133005072
