parameter,mean,median,sd,lower5,lower15,upper85,upper95
alpha_pt_0,-0.0027198567408512173,-0.002724296163428591,0.005292717454586563,-0.011415166655059502,-0.00819645410281288,0.00276991004730973,0.005926997772989932
alpha_pt_lag[1],-0.005020323268137466,-0.005085792161786756,0.004816448070961899,-0.012755167723694052,-0.009987991918231657,-4.429492806339967e-5,0.002891162901130421
alpha_pt_lag[2],-0.0021957908796978918,-0.0021922969875899923,0.00479064923398902,-0.010046078086622676,-0.007117416351628171,0.002687353771222983,0.00568115341344824
alpha_pt_lag[3],0.009065408647544697,0.009048712532227943,0.004826771972096917,0.001136821871691035,0.0041078915824232344,0.014023584601222768,0.01693049834136832
alpha_pt_lag[4],-0.006445343510055511,-0.00647808087871643,0.005194108545127281,-0.014896569301848654,-0.011796063743642114,-0.0010964030919289299,0.0021500181209763796
delta_pt_0,1.1570735446459182,1.1567469671399064,0.06986961884102645,1.0438821836127692,1.0857003441661832,1.229017063329958,1.2735481882553061
delta_pu_0,1.335898796944899,1.3335773777449447,0.05505134845138981,1.2501585748732533,1.2804679200153115,1.3921595304762535,1.4280844897593161
eps_pt,0.1518854757041525,0.1511263197649732,0.0133583155837329,0.13149920833835516,0.1381131309347634,0.16548734386017053,0.17529666051378281
eps_pu,0.11268879980672401,0.11215807304180012,0.00870157378653196,0.09939892787717698,0.10372206129579792,0.12161101112295254,0.12776621885822745
gamma_pt_0,-0.46272819472637094,-0.465709582431171,0.3130270575037888,-0.9763496658720352,-0.7876820319829806,-0.13902924683863366,0.05571884244420481
gamma_pt_lag[1],0.30211542440474143,0.31676437261069273,0.34465988627561156,-0.2977749973651192,-0.0620647149836623,0.6769061632877206,0.8372853813928638
gamma_pt_lag[2],-0.3390669541645037,-0.34167568155554245,0.3795663744040109,-0.959204308042503,-0.7316610345110256,0.05394812191509878,0.2852534980314189
gamma_pt_lag[3],-0.3689511617330989,-0.3667959185736753,0.3568291204156513,-0.9593222465795839,-0.7399771681404576,6.457023204937635e-4,0.2142344349518207
