parameter,mean,median,sd,lower5,lower15,upper85,upper95
<<<<<<< Updated upstream
<<<<<<< Updated upstream
<<<<<<< Updated upstream
delta_wage_0,1.4025712572206526,1.4072967035654158,0.05641042592668299,1.3014459636494717,1.3420046940015276,1.464547280537543,1.4851987940344553
eps_wage,0.1114277845875542,0.11091501534134723,0.008679226035650668,0.09806190267933658,0.10247430559402645,0.12037922732476644,0.12643361340046683
gamma_wage_0,-0.3732625070719368,-0.37449875192868554,0.3082781171777926,-0.881678134431824,-0.6919276761355567,-0.05353282555931119,0.13177451564475323
gamma_wage_lag[1],0.10685915089856889,0.08927255381177612,0.5375029427931115,-0.7531378613799509,-0.44524801854437546,0.673442711358103,1.01774693138563
gamma_wage_lag[2],-0.6852166398936492,-0.6557222345777536,0.49972277314427016,-1.5604902065399737,-1.211112612835558,-0.16763880487504698,0.08140747069339811
lambda_wage_0,-0.7388886418058898,-0.6953936399646643,0.440618910723842,-1.5184695943367628,-1.2169079431097602,-0.26217581029553466,-0.09652697023010866
nhat_init,5.643852546956509,5.644814745410182,0.17804315512854857,5.348535893638285,5.4570825673341075,5.831566292202243,5.937383523709009
tau,0.09022523938532681,0.08970975697472997,0.013955222543443004,0.0678135458488531,0.07582042247545456,0.1047616620635008,0.11384356502239659
wage_init[1],0.897413415346895,0.8969867096908442,0.11016216422429427,0.7173322611983759,0.7845089532819476,1.009945954709999,1.0783262145404147
wage_init[2],0.8903993125476994,0.8904571791664594,0.11163153196768118,0.707908099831003,0.7753117192417691,1.0054087766259197,1.074129527402765
wage_init[3],0.7349610341072297,0.7342706741668041,0.11182499061996413,0.5496945145907355,0.6206953317119233,0.8504211741919576,0.9179167921274274
wage_init[4],0.7305039367596234,0.7298851175016168,0.11034273002506897,0.550667477200369,0.6164309967121276,0.8439218929652241,0.9114851002144334
wage_init[5],0.7254954667097031,0.7252464977210011,0.11007220189735707,0.5451239387711679,0.6120861610447744,0.8384357474395536,0.9048587908753942
wage_missing,0.7955508167722553,0.796116213296913,0.12111355150690807,0.5942678119591054,0.6704449326417024,0.9204385698076378,0.9950113266916472
xi_wage[1],-0.28234120872344054,-0.2833432649007025,0.1328745129494906,-0.5014328665414512,-0.42067326592315857,-0.14664479106079215,-0.06255628376687912
xi_wage[2],-0.26980981277010774,-0.27025039928513633,0.13507887524908577,-0.48862874639265336,-0.4094150795603192,-0.13173834710104246,-0.04728331111490432
=======
delta_wage_0,1.4037876114799799,1.4087489120394983,0.0568531736344751,1.3008938447877472,1.3438212366749682,1.465483818247667,1.4869807081172075
eps_wage,0.11147676127952,0.11088541407620994,0.008819339778867317,0.09795359287602431,0.1025371977050525,0.1205120388367786,0.12679740527009603
gamma_wage_0,-0.37009611117191005,-0.3707985739198929,0.3078606364204499,-0.8760449122207647,-0.6850690088651334,-0.05131326793771074,0.1358439306098746
gamma_wage_lag[1],0.105930825150105,0.09447487476515537,0.5413523725134601,-0.7671937261040095,-0.45436227051977285,0.6716707986487306,1.021897112662007
gamma_wage_lag[2],-0.6885908620697817,-0.6603095173295859,0.5008475367981527,-1.5558268966428255,-1.2206541558695367,-0.16696214435779455,0.08119030618871542
