year,party,seats
1901,Protectionist,31
1901,Free Trade,28
1901,Labor,14
1901,Independent,2
1903,Protectionist,26
1903,Free Trade,25
1903,Labor,23
1903,Revenue Tariff,1
1906,Anti-Socialist,26
1906,Protectionist,16
1906,Labor,26
1906,Western Australian Party,2
1906,Independent,5
1910,Labor,42
1910,Liberal (Commonwealth),31
1910,Independent,2
1913,Liberal (Commonwealth),38
1913,Labor,37
1914,Labor,42
1914,Liberal (Commonwealth),32
1914,Independent,1
1917,Nationalist,53
1917,Labor,22
1919,Nationalist,37
1919,Labor,25
1919,Country,11
1919,Independent,2
1922,Labor,29
1922,Nationalist,26
1922,Country,14
1922,Liberal (1922),5
1922,Independent,1
1925,Nationalist,37
1925,Labor,23
1925,Country,13
1925,Independent,2
1928,Labor,31
1928,Nationalist,29
1928,Country,13
1928,Country Progressive,1
1928,Independent,1
1929,Labor,46
1929,Nationalist,14
1929,Country,10
1929,Country Progressive,1
1929,Independent,4
1931,United Australia,34
1931,Labor,14
1931,Country,16
1931,Lang Labor,4
1931,Emergency Committee,6
1931,Independent,1
1934,United Australia,28
1934,Labor,18
1934,Country,14
1934,Lang Labor,9
1934,Liberal and Country League,5
1937,Labor,29
1937,United Australia,28
1937,Country,15
1937,Independent,2
1940,Labor,32
1940,United Australia,23
1940,Country,13
1940,Non-Communist Labor,4
1940,Independent,2
1943,Labor,49
1943,United Australia,14
1943,Country,9
1943,Independent,2
1946,Labor,43
1946,Liberal,18
1946,Country,11
1946,Lang Labor,1
1946,Independent,2
1949,Liberal,55
1949,Labor,47
1949,Country,19
1951,Liberal,52
1951,Labor,52
1951,Country,17
1954,Labor,57
1954,Liberal,47
1954,Country,17
1955,Liberal,57
1955,Labor,47
1955,Country,18
1958,Liberal,58
1958,Labor,45
1958,Country,19
1961,Labor,60
1961,Liberal,45
1961,Country,17
1963,Liberal,52
1963,Labor,50
1963,Country,20
1966,Liberal,61
1966,Labor,41
1966,Country,21
1966,Independent,1
1969,Labor,59
1969,Liberal,46
1969,Country,20
1972,Labor,67
1972,Liberal,38
1972,Country,20
1974,Labor,66
1974,Liberal,40
1974,Country,21
1975,Liberal,68
1975,Labor,36
1975,National Country,23
1977,Liberal,67
1977,Labor,38
1977,National Country,19
1980,Liberal,54
1980,Labor,51
1980,National Country,19
1980,CLP,1
1983,Labor,75
1983,Liberal,33
1983,National,17
1984,Labor,82
1984,Liberal,44
1984,National,21
1984,CLP,1
1987,Labor,86
1987,Liberal,43
1987,National,19
1990,Labor,78
1990,Liberal,55
1990,National,14
1990,Independent,1
1993,Labor,80
1993,Liberal,49
1993,National,16
1993,Independent,2
1996,Liberal,75
1996,Labor,49
1996,National,18
1996,CLP,1
1996,Independent,5
1998,Labor,67
1998,Liberal,64
1998,National,16
1998,Independent,1
2001,Liberal,68
2001,Labor,65
2001,National,13
2001,CLP,1
2001,Independent,3
2004,Liberal,74
2004,Labor,60
2004,National,12
2004,CLP,1
2004,Independent,3
2007,Labor,83
2007,Liberal,55
2007,National,10
2007,Independent,2
2010,Labor,72
2010,Liberal,44
2010,Liberal National,21
2010,National,6
2010,CLP,1
2010,WA National,1
2010,Greens,1
2010,Independent,4
2013,Liberal,58
2013,Liberal National,22
2013,Labor,55
2013,National,9
2013,CLP,1
2013,Greens,1
2013,Palmer United,1
2013,Katter,1
2013,Independent,2
2016,Labor,69
2016,Liberal,45
2016,Liberal National,21
2016,National,10
2016,Greens,1
2016,Nick Xenophon Team,1
2016,Katter,1
2016,Independent,2
2019,Labor,68
2019,Liberal,44
2019,Liberal National,23
2019,National,10
2019,Greens,1
2019,Centre Alliance,1
2019,Katter,1
2019,Independent,3
2022,Labor,77
2022,Liberal,27
2022,Liberal National,21
2022,National,10
2022,Greens,4
2022,Centre Alliance,1
2022,Katter,1
2022,Independent,10
2025,Labor,94
2025,Liberal,18
2025,Liberal National,16
2025,National,9
2025,Greens,1
2025,Centre Alliance,1
2025,Katter,1
2025,Independent,10
