year,party,seats
1901,Free Trade,17
1901,Protectionist,11
1901,Labor,8
1903,Labor,14
1903,Free Trade,12
1903,Protectionist,8
1903,Revenue Tariff,1
1903,Independent,1
1906,Anti-Socialist,17
1906,Labor,15
1906,Protectionist,3
1906,Independent,1
1910,Labor,22
1910,Liberal (Commonwealth),14
1913,Labor,29
1913,Liberal (Commonwealth),7
1914,Labor,31
1914,Liberal (Commonwealth),5
1917,Nationalist,24
1917,Labor,12
1919,Nationalist,35
1919,Labor,1
1922,Nationalist,24
1922,Labor,12
1925,Nationalist,24
1925,Country,4
1925,Labor,8
1928,Nationalist,24
1928,Country,5
1928,Labor,7
1931,United Australia,22
1931,Country,4
1931,Labor,8
1931,Lang Labor,2
1934,United Australia,26
1934,Country,7
1934,Labor,3
1937,United Australia,16
1937,Country,3
1937,Independent Country,1
1937,Labor,16
1940,United Australia,15
1940,Country,4
1940,Labor,17
1943,Labor,22
1943,United Australia,12
1943,Country,2
1946,Labor,33
1946,Liberal,2
1946,Country,1
1949,Labor,34
1949,Liberal,21
1949,Country,5
1951,Labor,28
1951,Liberal,26
1951,Country,6
1953,Labor,29
1953,Liberal,26
1953,Country,5
1955,Labor,28
1955,Liberal,24
1955,Country,6
1955,Anti-Communist Labor,2
1958,Labor,26
1958,Liberal,25
1958,Country,7
1958,DLP,2
1961,Labor,28
1961,Liberal,24
1961,Country,6
1961,DLP,1
1961,Independent,1
1964,Labor,27
1964,Liberal,23
1964,Country,7
1964,DLP,2
1964,Independent,1
1967,Labor,27
1967,Liberal,21
1967,Country,7
1967,DLP,4
1967,Independent,1
1970,Labor,26
1970,Liberal,22
1970,Country,4
1970,DLP,5
1970,Independent,3
1974,Labor,29
1974,Liberal,23
1974,Country,6
1974,Liberal Movement,1
1974,Independent,1
1975,Labor,27
1975,Liberal,26
1975,National Country,8
1975,CLP,1
1975,Liberal Movement,1
1975,Independent,1
1977,Labor,27
1977,Liberal,27
1977,National Country,6
1977,CLP,1
1977,Democrats,2
1977,Independent,1
1980,Labor,27
1980,Liberal,27
1980,National Country,3
1980,CLP,1
1980,Democrats,5
1980,Independent,1
1983,Labor,30
1983,Liberal,23
1983,National,4
1983,CLP,1
1983,Democrats,5
1983,Independent,1
1984,Labor,34
1984,Liberal,27
1984,National,5
1984,CLP,1
1984,Democrats,7
1984,NDP,1
1984,Independent,1
1987,Labor,32
1987,Liberal,27
1987,National,6
1987,CLP,1
1987,Democrats,7
1987,NDP,1
1987,Independent,2
1990,Labor,32
1990,Liberal,28
1990,National,5
1990,CLP,1
1990,Democrats,8
1990,Greens WA,1
1990,Independent,1
1993,Labor,30
1993,Liberal,29
1993,National,6
1993,CLP,1
1993,Democrats,7
1993,Greens WA,2
1993,Independent,1
1996,Labor,29
1996,Liberal,31
1996,National,5
1996,CLP,1
1996,Democrats,7
1996,Greens,2
1996,Independent,1
1998,Labor,29
1998,Liberal,31
1998,National,3
1998,CLP,1
1998,Democrats,9
1998,Greens,1
1998,One Nation,1
1998,Independent,1
2001,Labor,28
2001,Liberal,31
2001,National,3
2001,CLP,1
2001,Democrats,8
2001,Greens,2
2001,One Nation,1
2001,Independent,2
2004,Labor,28
2004,Liberal,33
2004,National,5
2004,CLP,1
2004,Democrats,4
2004,Greens,4
2004,Family First,1
2007,Labor,32
2007,Liberal,32
2007,National,4
2007,CLP,1
2007,Greens,5
2007,Family First,1
2007,Independent,1
2010,Labor,31
2010,Liberal,28
2010,National,6
2010,Greens,9
2010,DLP,1
2010,Independent,1
2013,Labor,25
2013,Liberal,27
2013,National,6
2013,Greens,10
2013,Palmer United,3
2013,DLP,1
2013,Family First,1
2013,Liberal Democrats,1
2013,Motoring Enthusiast,1
2013,Independent,1
2016,Labor,26
2016,Liberal,21
2016,Liberal National,5
2016,National,3
2016,CLP,1
2016,Greens,9
2016,One Nation,4
2016,Nick Xenophon Team,3
2016,Family First,1
2016,Liberal Democrats,1
2016,Jacqui Lambie Network,1
2016,Derryn Hinch Justice,1
2019,Labor,26
2019,Liberal,30
2019,National,5
2019,Greens,9
2019,One Nation,2
2019,Centre Alliance,2
2019,Jacqui Lambie Network,1
2019,Independent,1
2022,Labor,26
2022,Liberal,26
2022,National,6
2022,Greens,12
2022,One Nation,2
2022,Jacqui Lambie Network,2
2022,UAP (Palmer),1
2022,Independent,1
2025,Labor,28
2025,Liberal,23
2025,National,4
2025,Greens,11
2025,One Nation,4
2025,Jacqui Lambie Network,1
2025,UAP (Palmer),1
2025,Independent,4
