period,median,lower90,upper90,date,region
1,5.9033522164203465,5.591104099842605,6.16765723132068,1997 Q4,AUS
2,5.982263240023479,5.648925239046919,6.281199236504723,1998 Q1,AUS
3,6.060948744271464,5.7124469750667695,6.389491093175482,1998 Q2,AUS
4,6.14037423555825,5.780432074126099,6.492321559388512,1998 Q3,AUS
5,6.2103458375069875,5.840924836131641,6.576774858607004,1998 Q4,AUS
6,6.284764238827037,5.898870354763776,6.6731502534855585,1999 Q1,AUS
7,6.347065108494435,5.9540690615887994,6.751813741755292,1999 Q2,AUS
8,6.411037921415498,6.003514865211951,6.832958344320485,1999 Q3,AUS
9,6.472466917957412,6.0534949378102425,6.904281083962622,1999 Q4,AUS
10,6.526302186507012,6.096499283464829,6.970814197575629,2000 Q1,AUS
11,6.575500142676362,6.1360347788245395,7.037717111601907,2000 Q2,AUS
12,6.619105642138939,6.172001606540598,7.091119328639811,2000 Q3,AUS
13,6.644472224852972,6.190365048992965,7.119686783757154,2000 Q4,AUS
14,6.665433059560328,6.209653929371576,7.141393409234944,2001 Q1,AUS
15,6.669471343556168,6.215867358526955,7.153542681877908,2001 Q2,AUS
16,6.665549800956855,6.215894519896771,7.146427554251228,2001 Q3,AUS
17,6.661740446328356,6.216554218096046,7.135706996179683,2001 Q4,AUS
18,6.6429260637552074,6.200034501544117,7.11801040881295,2002 Q1,AUS
19,6.622500565787103,6.185667726842358,7.086381476874528,2002 Q2,AUS
20,6.601726141716274,6.16444559347601,7.0588835521807995,2002 Q3,AUS
21,6.569318084203694,6.141158799677059,7.030630291310827,2002 Q4,AUS
22,6.53933218786581,6.11790467418427,6.999419831573528,2003 Q1,AUS
23,6.4973345203585975,6.088382087193138,6.951456149300277,2003 Q2,AUS
24,6.456312025169376,6.0525466817754,6.9078334593043165,2003 Q3,AUS
25,6.418904124778194,6.021123835705918,6.867231366297692,2003 Q4,AUS
26,6.377219376818068,5.982883974949079,6.8199895348448205,2004 Q1,AUS
27,6.3395252140600356,5.942427824942283,6.780510145046473,2004 Q2,AUS
28,6.301881338530563,5.912175197173339,6.75080086092918,2004 Q3,AUS
29,6.266646954020171,5.880234931922226,6.717403213577811,2004 Q4,AUS
30,6.227280534987869,5.84157569392332,6.669043480641532,2005 Q1,AUS
31,6.179883984624208,5.790090030858552,6.619545375033216,2005 Q2,AUS
32,6.133595842856941,5.746459955429775,6.578681337008346,2005 Q3,AUS
33,6.076622873855323,5.690998891623905,6.522064701075121,2005 Q4,AUS
34,6.019594265408634,5.630295847070072,6.458888479543107,2006 Q1,AUS
35,5.964624508770253,5.579770332791955,6.402802798245782,2006 Q2,AUS
36,5.908320764073892,5.518606015518266,6.3477994302452485,2006 Q3,AUS
37,5.864648806165764,5.4727580920189265,6.299620274054717,2006 Q4,AUS
38,5.823442959580657,5.437506225536436,6.256525633298825,2007 Q1,AUS
39,5.779589299450562,5.399303879161626,6.219160989152244,2007 Q2,AUS
40,5.743513670439266,5.360119939174322,6.176959425704096,2007 Q3,AUS
41,5.712734771203211,5.333247476902404,6.153391009924221,2007 Q4,AUS
42,5.681533348117072,5.306143354810794,6.116624230507852,2008 Q1,AUS
43,5.675180547904487,5.298657052779991,6.100678483535175,2008 Q2,AUS
44,5.6538433791206195,5.284860071214229,6.079376384581924,2008 Q3,AUS
45,5.659347259323533,5.291586781011264,6.0831983272353565,2008 Q4,AUS
46,5.654106850308207,5.284930845029307,6.075266532850602,2009 Q1,AUS
47,5.6554706075638705,5.286696877536739,6.071593913198261,2009 Q2,AUS
48,5.647391050744213,5.278514697872635,6.060281646087027,2009 Q3,AUS
49,5.641321031027136,5.276447041807211,6.057698798683885,2009 Q4,AUS
50,5.638170074168294,5.271499754682723,6.0502887942765256,2010 Q1,AUS
51,5.621796994814183,5.256455305740683,6.028960940141136,2010 Q2,AUS
52,5.608302745297626,5.241644132433963,6.016783468455304,2010 Q3,AUS
53,5.586788445404463,5.217104920976134,5.990358021495653,2010 Q4,AUS
54,5.561481221491303,5.192990059969907,5.966305607067897,2011 Q1,AUS
55,5.536249770642249,5.170912282698222,5.938896833505906,2011 Q2,AUS
56,5.51146848290734,5.1410077970249235,5.91340856859914,2011 Q3,AUS
57,5.488913374763021,5.118472199157151,5.88459914253984,2011 Q4,AUS
58,5.456080199367959,5.080419475285782,5.85353197235326,2012 Q1,AUS
59,5.42088744162005,5.041788459005281,5.820778686328578,2012 Q2,AUS
60,5.384674662401617,5.002791526198482,5.7831317237209,2012 Q3,AUS
61,5.345754935478044,4.965364530117818,5.7422059368470535,2012 Q4,AUS
62,5.304180316879455,4.918801247650731,5.700166024768616,2013 Q1,AUS
63,5.263085841711835,4.873745278132003,5.6615325152040405,2013 Q2,AUS
64,5.227295378026812,4.8375792539954965,5.625978347627686,2013 Q3,AUS
65,5.186706078964465,4.789131520710903,5.5890764297207784,2013 Q4,AUS
66,5.14533071607847,4.743725857393636,5.552148523596225,2014 Q1,AUS
67,5.102654905349309,4.697972536154031,5.507911816210851,2014 Q2,AUS
68,5.056689250728918,4.6386260475396615,5.460224350299548,2014 Q3,AUS
69,5.013425942094024,4.592885579853389,5.421530173544046,2014 Q4,AUS
70,4.963361301617942,4.538498983895464,5.375384098114507,2015 Q1,AUS
71,4.91940651505309,4.494433097039712,5.326253905112083,2015 Q2,AUS
72,4.872347621006581,4.4471386522658145,5.277766502993312,2015 Q3,AUS
73,4.836075379479179,4.414228369986706,5.240369048755988,2015 Q4,AUS
74,4.795930501297921,4.370585155772214,5.198775342617628,2016 Q1,AUS
75,4.7644254407402835,4.338081156001063,5.1637198194266585,2016 Q2,AUS
76,4.733172888990138,4.30799619437775,5.134248457037739,2016 Q3,AUS
77,4.711280624435204,4.290282533898525,5.111720920374452,2016 Q4,AUS
78,4.689111854616974,4.266246685332953,5.087790810472251,2017 Q1,AUS
79,4.67027132950755,4.250476629611899,5.06362039791334,2017 Q2,AUS
80,4.647054617841778,4.22708434516475,5.038712556523546,2017 Q3,AUS
81,4.632116589999847,4.215949440940744,5.0284621367742925,2017 Q4,AUS
82,4.61441935447883,4.1986491724615504,5.008071332447226,2018 Q1,AUS
83,4.599674774696265,4.18756041707086,4.979851151695206,2018 Q2,AUS
84,4.57975343982801,4.1752938958601815,4.96390494508481,2018 Q3,AUS
85,4.56177117003892,4.159125175423459,4.944822615870711,2018 Q4,AUS
86,4.541774693208007,4.137817936550254,4.919819504122157,2019 Q1,AUS
87,4.529465559568565,4.127276811528421,4.907725124641094,2019 Q2,AUS
88,4.51172905694367,4.113000198635866,4.890679696443692,2019 Q3,AUS
89,4.505323121716834,4.103604689925231,4.884107774846845,2019 Q4,AUS
90,4.501419372746263,4.109682723074434,4.883150554381507,2020 Q1,AUS
91,4.505269215689237,4.115261248805209,4.890785817721688,2020 Q2,AUS
92,4.508681078320773,4.117321792403579,4.889118437436209,2020 Q3,AUS
93,4.511412460350964,4.126341020837568,4.891713082073548,2020 Q4,AUS
94,4.504836622700823,4.130937724521689,4.88508920922166,2021 Q1,AUS
95,4.499117495654035,4.128650323161248,4.868244410828411,2021 Q2,AUS
96,4.4958125877283415,4.135011477295554,4.8648952684264835,2021 Q3,AUS
97,4.506249862891305,4.151751811819301,4.876351707079674,2021 Q4,AUS
98,4.517883875246929,4.169537716295729,4.884560507091704,2022 Q1,AUS
99,4.531639360405182,4.189803066660971,4.897264339712653,2022 Q2,AUS
100,4.5605676247409725,4.222053478596308,4.922967882760228,2022 Q3,AUS
101,4.591077122293676,4.2605484548971955,4.955580859156275,2022 Q4,AUS
102,4.629560049746296,4.292515764790269,4.997379293617427,2023 Q1,AUS
103,4.649569098571007,4.314863596705229,5.026657231078675,2023 Q2,AUS
104,4.674563818473866,4.3327594675014405,5.060754756382175,2023 Q3,AUS
105,4.679768177960944,4.331042879444247,5.074145028263527,2023 Q4,AUS
106,4.674473664252589,4.312274083001041,5.082768800955215,2024 Q1,AUS
107,4.6739000963232655,4.2924293031076655,5.104252999660944,2024 Q2,AUS
108,4.680853665937425,4.276201490006761,5.1247779966968485,2024 Q3,AUS
109,4.681426639101124,4.259162709247293,5.152941655101712,2024 Q4,AUS
110,4.682751160533609,4.230499629949798,5.179898124931652,2025 Q1,AUS
1,5.771399703877445,5.46644358219475,6.059135016233213,1997 Q4,NSW
2,5.8167166091370595,5.497054531268918,6.126168653231973,1998 Q1,NSW
3,5.861450113826605,5.5316314682714,6.186391964275369,1998 Q2,NSW
4,5.9054214998601,5.574884449799452,6.242857874974503,1998 Q3,NSW
5,5.937817453829521,5.59931136001593,6.291764403556234,1998 Q4,NSW
6,5.975352067899443,5.630193279485703,6.335257465793207,1999 Q1,NSW
7,6.0052175219035835,5.659075169409305,6.37282497075027,1999 Q2,NSW
8,6.042216380160508,5.6905982279875245,6.418359065973319,1999 Q3,NSW
9,6.075120894266089,5.7176369728086485,6.4578057462788925,1999 Q4,NSW
10,6.104707685308858,5.750484802128875,6.49910125549526,2000 Q1,NSW
