period,median,lower90,upper90,date,region
1,5.774847827733188,5.465649041982214,6.065710695747963,1997 Q4,NSW
2,5.819023091295151,5.4978231509968944,6.12913445654432,1998 Q1,NSW
3,5.864477356184873,5.538975695031811,6.191986018683199,1998 Q2,NSW
4,5.909357183559563,5.571637479240339,6.251171822107074,1998 Q3,NSW
5,5.942882341590662,5.600837607112346,6.291533144515339,1998 Q4,NSW
6,5.981314812432629,5.639005984270935,6.339234084065806,1999 Q1,NSW
7,6.012093001500907,5.664566283339321,6.377254751672878,1999 Q2,NSW
8,6.046075891922731,5.696210310786136,6.419797109280553,1999 Q3,NSW
9,6.0785790979823275,5.725836543418945,6.460212279947204,1999 Q4,NSW
10,6.109414342593295,5.749614792792412,6.494740575208048,2000 Q1,NSW
11,6.12696201190745,5.759617860619822,6.5184750004562035,2000 Q2,NSW
12,6.155459852393132,5.785971322570565,6.554337465240851,2000 Q3,NSW
13,6.162895977684155,5.79127620447677,6.560520481162936,2000 Q4,NSW
14,6.170027952605798,5.790591742343029,6.572602874541312,2001 Q1,NSW
15,6.177406143718052,5.7989352133179946,6.583896647424871,2001 Q2,NSW
16,6.175251949873279,5.795387898916723,6.580828321622539,2001 Q3,NSW
17,6.181889493033214,5.803544697634883,6.591878129171399,2001 Q4,NSW
18,6.181340507740927,5.800828109801919,6.601228512515531,2002 Q1,NSW
19,6.174922774193103,5.796204095435063,6.59593788667771,2002 Q2,NSW
20,6.173634225540402,5.790630515566456,6.59292330410666,2002 Q3,NSW
21,6.147002563061208,5.766034622058013,6.566273766679489,2002 Q4,NSW
22,6.1390908162906745,5.760500695847032,6.560361473299252,2003 Q1,NSW
23,6.109556540523463,5.733667470073531,6.527890202888139,2003 Q2,NSW
24,6.079873554685992,5.7042232376242765,6.492676334526941,2003 Q3,NSW
25,6.055076487506939,5.685216082328721,6.4699543424227866,2003 Q4,NSW
26,6.0269082763281485,5.65297741545354,6.434279353710565,2004 Q1,NSW
27,6.011044537792443,5.6422917452466645,6.419814074659218,2004 Q2,NSW
28,5.995635984257292,5.62771444296113,6.4075178192696916,2004 Q3,NSW
29,5.965508350350994,5.602407254355482,6.372736004437268,2004 Q4,NSW
30,5.949207599977088,5.588855491413581,6.361523465542129,2005 Q1,NSW
31,5.924817184776417,5.558049651277466,6.3333081498420905,2005 Q2,NSW
32,5.898265215923512,5.5337423405177475,6.299163741432341,2005 Q3,NSW
33,5.854194708391982,5.495626376846826,6.254508618744769,2005 Q4,NSW
34,5.8224906065143625,5.462829034387364,6.22411186449095,2006 Q1,NSW
35,5.789877838523133,5.430605874722093,6.18713615926948,2006 Q2,NSW
36,5.751613627835484,5.395005121831325,6.144235168508411,2006 Q3,NSW
37,5.7117018130956,5.360706809272944,6.1034034103008805,2006 Q4,NSW
38,5.689516615966886,5.336425422669044,6.081491023753585,2007 Q1,NSW
39,5.660659530965445,5.308098555289973,6.050932393246226,2007 Q2,NSW
40,5.6368747780314195,5.280826989571418,6.028537622442568,2007 Q3,NSW
41,5.617674630605803,5.265198701967264,6.009087438262952,2007 Q4,NSW
42,5.597164101411002,5.245454826378973,5.986591613230302,2008 Q1,NSW
43,5.601436570661568,5.2490011837474695,5.998715049270084,2008 Q2,NSW
44,5.573883207649133,5.217328011746573,5.969134544639754,2008 Q3,NSW
45,5.569987634455976,5.215757410929899,5.967448381900567,2008 Q4,NSW
46,5.546855594060345,5.1876603223902205,5.946047816103368,2009 Q1,NSW
47,5.534409640906678,5.173718937412825,5.938465323178332,2009 Q2,NSW
48,5.513902020567375,5.151585830251687,5.917955391341452,2009 Q3,NSW
49,5.483417563682539,5.116632612484828,5.885434456212404,2009 Q4,NSW
50,5.46339101153397,5.096201730944486,5.867925071676225,2010 Q1,NSW
51,5.422578426119827,5.055548378096815,5.823247546150413,2010 Q2,NSW
52,5.389388773693518,5.020900308089099,5.788645956080162,2010 Q3,NSW
53,5.344468591144105,4.980530073163328,5.739025232862228,2010 Q4,NSW
54,5.305992201930799,4.940847491677024,5.698028309201198,2011 Q1,NSW
55,5.260491140817877,4.897523148624069,5.646552114402389,2011 Q2,NSW
56,5.2003720235588196,4.841842541892874,5.585781969024681,2011 Q3,NSW
57,5.153103742293352,4.789783705988735,5.536884343649781,2011 Q4,NSW
58,5.101797301288107,4.73270340006556,5.4851267148044185,2012 Q1,NSW
59,5.039715415243409,4.668242988386031,5.4217294338051705,2012 Q2,NSW
