period,median,lower90,upper90,date,region
1,5.617985369310015,5.114184232912551,6.11387083134352,1997 Q4,QLD
2,5.680344339093525,5.072745478212595,6.294233186459975,1998 Q1,QLD
3,5.742075767075946,5.062934167952628,6.4617327020190976,1998 Q2,QLD
4,5.8147677371859,5.071678370956409,6.623314424488665,1998 Q3,QLD
5,5.87836886981297,5.108873464353435,6.746446820619046,1998 Q4,QLD
6,5.937698497591649,5.111726343292825,6.853049046128688,1999 Q1,QLD
7,5.984346315609672,5.1342100054171915,6.934761503303115,1999 Q2,QLD
8,6.0482311176448444,5.159206637946249,7.0676370014429235,1999 Q3,QLD
9,6.0906335905362505,5.184725967767622,7.147950065153809,1999 Q4,QLD
10,6.135937559122953,5.200509484417194,7.218976898407338,2000 Q1,QLD
11,6.168879948728835,5.196521790359408,7.269752097052747,2000 Q2,QLD
12,6.231245676864064,5.240383805065763,7.380626079713484,2000 Q3,QLD
13,6.284396818808687,5.2565402591635095,7.46891385873811,2000 Q4,QLD
14,6.30698528568044,5.27727456448838,7.500957122323608,2001 Q1,QLD
15,6.329923412825686,5.277144470890159,7.534349792248477,2001 Q2,QLD
16,6.340453690202839,5.30545586521451,7.526153596467763,2001 Q3,QLD
17,6.3612612564540925,5.32141742458145,7.561717483072938,2001 Q4,QLD
18,6.361181381613413,5.320472191193087,7.546907121844855,2002 Q1,QLD
19,6.349989396203755,5.323451204979348,7.5335450249739555,2002 Q2,QLD
20,6.354900579981618,5.3270080681347745,7.513141990844447,2002 Q3,QLD
21,6.365807293669086,5.360757521220825,7.533708029202663,2002 Q4,QLD
22,6.354058698824032,5.351471276197694,7.492978812843288,2003 Q1,QLD
23,6.326308095306155,5.335063036827085,7.454972775807925,2003 Q2,QLD
24,6.334011650848056,5.355657319914538,7.442917559539256,2003 Q3,QLD
25,6.333604006817881,5.358432721663491,7.45766907290946,2003 Q4,QLD
26,6.287153857306549,5.332735427422448,7.397626931713103,2004 Q1,QLD
27,6.208451591096775,5.29549111162173,7.271051780754295,2004 Q2,QLD
28,6.171345461776044,5.274265988992793,7.218284279329495,2004 Q3,QLD
29,6.1626416348422115,5.2844698988513565,7.212386139129538,2004 Q4,QLD
30,6.110827126646942,5.248906619076022,7.154190258372189,2005 Q1,QLD
31,6.072027572509007,5.212979414839363,7.130634748399177,2005 Q2,QLD
32,6.076784096265659,5.219450063788379,7.149786435965928,2005 Q3,QLD
33,6.066461361657932,5.219805743795291,7.13187804825857,2005 Q4,QLD
34,5.9920917230553545,5.158930360861588,7.043622511493904,2006 Q1,QLD
35,5.877396304325325,5.057709687581132,6.911945488074177,2006 Q2,QLD
36,5.761177447595897,4.947325779834091,6.762091802771189,2006 Q3,QLD
37,5.685999987751534,4.891162604079472,6.679265315803531,2006 Q4,QLD
38,5.582081626136313,4.798612810018365,6.554165088073742,2007 Q1,QLD
39,5.463500151282257,4.665184457393105,6.411335591190616,2007 Q2,QLD
