period,median,lower90,upper90,date,region
1,5.699361074707429,5.357582361645141,6.019766252414155,1997 Q4,SA
2,5.721795018161277,5.36408213849215,6.062600890558976,1998 Q1,SA
3,5.738234998590344,5.371849968834546,6.0999849839768805,1998 Q2,SA
4,5.75841159416852,5.377665865370507,6.144586586299613,1998 Q3,SA
5,5.776564155194764,5.38255070054573,6.183464222838068,1998 Q4,SA
6,5.796743935285609,5.389000150291827,6.2316338452363516,1999 Q1,SA
7,5.813488135979551,5.393386330628903,6.271381977026788,1999 Q2,SA
8,5.82727808555427,5.394059501616598,6.310529340723532,1999 Q3,SA
9,5.845310576228108,5.4036623741286,6.351144054345419,1999 Q4,SA
10,5.858354009758223,5.409960345137729,6.384872590873427,2000 Q1,SA
11,5.8740780323821,5.415452381024371,6.417364910230843,2000 Q2,SA
12,5.883381259537155,5.415911156097354,6.4501342612088335,2000 Q3,SA
13,5.891234417965958,5.421013541291326,6.474772660299673,2000 Q4,SA
14,5.902368544047311,5.424643419131179,6.502901145152094,2001 Q1,SA
15,5.911274319628886,5.421655245351551,6.514394017650788,2001 Q2,SA
16,5.913716498344696,5.421503341257066,6.528289980614238,2001 Q3,SA
17,5.920508655323799,5.422066553505668,6.54673593642849,2001 Q4,SA
18,5.925141715282802,5.421769725398441,6.556140973706385,2002 Q1,SA
19,5.929413155756672,5.41839050084985,6.562591163932063,2002 Q2,SA
20,5.9288493041696935,5.4178797905755305,6.566941653842039,2002 Q3,SA
21,5.93094182584759,5.4125386097235895,6.56654258794735,2002 Q4,SA
22,5.929230478369166,5.408734835576364,6.56721608501348,2003 Q1,SA
23,5.927950854494709,5.407908453551685,6.564082008020538,2003 Q2,SA
24,5.92417828663644,5.399642405667093,6.562601701314986,2003 Q3,SA
25,5.921025013118822,5.392739860637664,6.560072070596549,2003 Q4,SA
26,5.9167621590754065,5.387735557463587,6.557151613733023,2004 Q1,SA
27,5.908830430328897,5.380473130780256,6.543081346368068,2004 Q2,SA
28,5.9050247598583185,5.371977001493564,6.53813030745703,2004 Q3,SA
29,5.9000178126753156,5.366495342173013,6.528743906917304,2004 Q4,SA
30,5.894617429752026,5.360984853888726,6.508472603766398,2005 Q1,SA
31,5.888183202747573,5.356465442262321,6.503273032921584,2005 Q2,SA
32,5.880976987794627,5.344212374894755,6.493569224655113,2005 Q3,SA
33,5.877091265741211,5.337927373524671,6.483744952394518,2005 Q4,SA
34,5.872280462055633,5.32901682049293,6.4792474203102035,2006 Q1,SA
35,5.866546245047273,5.322910867984667,6.474133753719785,2006 Q2,SA
36,5.860076342561451,5.315392863019381,6.469179697615429,2006 Q3,SA
37,5.854099705264835,5.307034852248443,6.4563932763803145,2006 Q4,SA
38,5.84770968838761,5.299422067527224,6.4594220896072585,2007 Q1,SA
39,5.839547001223407,5.286257458926826,6.448721279590133,2007 Q2,SA
40,5.82863411671989,5.278316982277194,6.4379366445927095,2007 Q3,SA
