period,median,lower90,upper90,date,region
1,5.764220293605322,5.243839500688799,6.319765812092546,1997 Q4,TAS
2,5.931279006611053,5.2713474053652645,6.651553623357563,1998 Q1,TAS
3,6.096650767995607,5.348291897772863,6.9467896617811915,1998 Q2,TAS
4,6.267897920114957,5.453117275638118,7.228271759837981,1998 Q3,TAS
5,6.418892054626884,5.519904932016628,7.466390994420712,1998 Q4,TAS
6,6.5383351860777115,5.584653151076344,7.644274309703649,1999 Q1,TAS
7,6.6927915368691,5.684139057975928,7.852731854109023,1999 Q2,TAS
8,6.823654641167678,5.765894331473051,8.024700267780204,1999 Q3,TAS
9,6.972926951331258,5.868159779301869,8.236735194572983,1999 Q4,TAS
10,7.101886221166032,5.950899109229523,8.413773334021592,2000 Q1,TAS
11,7.23031424435198,6.037862442255206,8.579491828542848,2000 Q2,TAS
12,7.300311727243027,6.090263882064651,8.666811402471922,2000 Q3,TAS
13,7.4193824397211365,6.163868899218724,8.813769027928544,2000 Q4,TAS
14,7.467610894209999,6.193171534393293,8.845239327695305,2001 Q1,TAS
15,7.5404411648477865,6.2466160827276145,8.947042103966405,2001 Q2,TAS
16,7.580905766952322,6.274794566832492,8.984228905807932,2001 Q3,TAS
17,7.633488920611391,6.323283629883615,9.01507086447754,2001 Q4,TAS
18,7.661473183792966,6.359769456677261,9.051308048135795,2002 Q1,TAS
19,7.698242328357541,6.394298851612887,9.079645569181533,2002 Q2,TAS
20,7.635517989355858,6.368569684802884,8.989849456448134,2002 Q3,TAS
21,7.705471238619904,6.413869916462807,9.034648758644073,2002 Q4,TAS
22,7.650872961344515,6.408411797767535,8.972933696682702,2003 Q1,TAS
23,7.649219902767619,6.402895562206806,8.94278689541487,2003 Q2,TAS
24,7.599282692726409,6.391488245542124,8.869760018377846,2003 Q3,TAS
25,7.643355276447979,6.43773719142144,8.9385708168956,2003 Q4,TAS
26,7.674510012823816,6.469389242775778,8.987119103296477,2004 Q1,TAS
27,7.612482105935712,6.442825799494713,8.891239626010975,2004 Q2,TAS
