period,median,lower90,upper90,date,region
1,5.8797731826954776,5.56112189139075,6.1416927832644745,1997 Q4,VIC
2,5.940468431757834,5.605982710578326,6.238878223443546,1998 Q1,VIC
3,6.003135576306985,5.657256254213474,6.331988955332542,1998 Q2,VIC
4,6.061564068386282,5.701237949205228,6.424670295913487,1998 Q3,VIC
5,6.120589675918035,5.7420555536854945,6.511485381114874,1998 Q4,VIC
6,6.180391640885205,5.78345758541434,6.601843795084192,1999 Q1,VIC
7,6.2358703387386605,5.821474420488963,6.679774414811036,1999 Q2,VIC
8,6.289197358786274,5.856825603820848,6.744968777900012,1999 Q3,VIC
9,6.336194581945559,5.888225780795631,6.808466692801011,1999 Q4,VIC
10,6.377370363727058,5.917300913994018,6.862389733282714,2000 Q1,VIC
11,6.418006711823616,5.940641570426136,6.913367310240721,2000 Q2,VIC
12,6.446946691164264,5.962949249587235,6.951635874337197,2000 Q3,VIC
13,6.477167445129553,5.981067775108305,6.985421416330919,2000 Q4,VIC
14,6.493152303905068,5.995966554949983,7.010598312573264,2001 Q1,VIC
15,6.509189093678187,6.011590429740919,7.033560721360624,2001 Q2,VIC
16,6.517142813966686,6.016106404229469,7.044789031704157,2001 Q3,VIC
17,6.519669535205289,6.01815621269576,7.047302525312481,2001 Q4,VIC
18,6.517658399153534,6.0187263668719275,7.042380367680719,2002 Q1,VIC
19,6.511234990272495,6.012018459175498,7.0367213796854085,2002 Q2,VIC
20,6.502827698439754,6.005343472492509,7.024961125390096,2002 Q3,VIC
21,6.483375396556349,5.993872421912838,7.003174540202956,2002 Q4,VIC
22,6.468953817006449,5.985052761067366,6.982046395059673,2003 Q1,VIC
23,6.454981226557802,5.9787784621536435,6.9654972345826405,2003 Q2,VIC
24,6.444957348082976,5.968610081056077,6.952586924931224,2003 Q3,VIC
25,6.436780911239378,5.962468524834187,6.943658929042761,2003 Q4,VIC
26,6.424877978605108,5.953383614336105,6.936463780571461,2004 Q1,VIC
27,6.417102658468563,5.943639957197367,6.926314300128371,2004 Q2,VIC
28,6.407751394063299,5.9349024015203735,6.9231298888963275,2004 Q3,VIC
29,6.391855865153547,5.920746207452131,6.902970376274043,2004 Q4,VIC
30,6.370709015332528,5.905802965092895,6.883802779767981,2005 Q1,VIC
31,6.341143244244062,5.8784282766497835,6.844157122477,2005 Q2,VIC
32,6.312635042125002,5.850690223812426,6.815815574471506,2005 Q3,VIC
33,6.283259474137472,5.825677909035018,6.782880451963696,2005 Q4,VIC
34,6.245921421543855,5.799745259420291,6.74964967593097,2006 Q1,VIC
35,6.21973361671345,5.767471302654929,6.719970098597318,2006 Q2,VIC
36,6.181565993740871,5.73469806429103,6.683702230808477,2006 Q3,VIC
37,6.1577058648433525,5.704901599411185,6.6559047846620665,2006 Q4,VIC
38,6.136403482375821,5.689532263453476,6.63009122451,2007 Q1,VIC
39,6.117571076505391,5.671382176075598,6.610647121777183,2007 Q2,VIC
40,6.088179625497521,5.6413891516963135,6.5792811394323945,2007 Q3,VIC
41,6.079106842447713,5.629519436553226,6.56882356071046,2007 Q4,VIC
42,6.055302784381843,5.608902911325112,6.544436969831968,2008 Q1,VIC
43,6.0421534578371965,5.597711264285158,6.532524070111347,2008 Q2,VIC
44,6.017641260576777,5.571952092641376,6.504718406465008,2008 Q3,VIC
45,6.007918008337452,5.563102490010277,6.492963399199303,2008 Q4,VIC
46,5.994503350416418,5.55357353842207,6.478810320290771,2009 Q1,VIC
47,5.982480930195745,5.540223695062546,6.464023456930941,2009 Q2,VIC
48,5.967881245750523,5.529443857121298,6.447474443221193,2009 Q3,VIC
49,5.9606897913323,5.522694869348334,6.435470920290282,2009 Q4,VIC
50,5.957420564370121,5.51618858221794,6.436641141366351,2010 Q1,VIC
51,5.9433594589392165,5.499922486729169,6.4171984381354195,2010 Q2,VIC
52,5.938505105569865,5.496788430785713,6.409433883275088,2010 Q3,VIC
53,5.920545654699967,5.482643607055377,6.398679056471712,2010 Q4,VIC
54,5.904931214005572,5.4649485798137105,6.387690746709748,2011 Q1,VIC
