period,median,lower90,upper90,date,region
1,5.723505431128405,5.411607435787788,6.027897547481663,1997 Q4,WA
2,5.757703420166287,5.425360391598692,6.079215902800923,1998 Q1,WA
3,5.787435231771388,5.445923382891555,6.134859104321702,1998 Q2,WA
4,5.822163722310304,5.46281730654598,6.184436572490063,1998 Q3,WA
5,5.851941520297514,5.481930690781811,6.238302937226607,1998 Q4,WA
6,5.8828291432366395,5.5025362477981945,6.288241916547626,1999 Q1,WA
7,5.914541419761218,5.524750500867977,6.340621230493613,1999 Q2,WA
8,5.942630827423203,5.539600985644827,6.38674373268907,1999 Q3,WA
9,5.973793953682657,5.558274197366373,6.435798099642545,1999 Q4,WA
10,6.003278552769768,5.575130314018681,6.4836641045231245,2000 Q1,WA
11,6.027097945982281,5.5921002462064795,6.52883693130309,2000 Q2,WA
12,6.051622948483816,5.608181059839962,6.572582243760308,2000 Q3,WA
13,6.067864856412326,5.61737722968048,6.59414521494007,2000 Q4,WA
14,6.081764019111583,5.62227079121133,6.618084744820734,2001 Q1,WA
15,6.083846694140279,5.620679212978972,6.633002977475362,2001 Q2,WA
16,6.081013783498481,5.621857212524864,6.6310933263037315,2001 Q3,WA
17,6.079614204104166,5.615381200773134,6.636132392647457,2001 Q4,WA
18,6.071442606371724,5.6082029819507015,6.6304054429357056,2002 Q1,WA
19,6.061819739544842,5.600258574226065,6.618808419179894,2002 Q2,WA
20,6.045555530347562,5.592400599982362,6.602026078427983,2002 Q3,WA
21,6.029619168246775,5.57319452883496,6.5804348885053425,2002 Q4,WA
22,6.0124243600005975,5.562870600560675,6.55616731972333,2003 Q1,WA
23,5.990723701978462,5.543293940217474,6.518250411622452,2003 Q2,WA
24,5.967579233941839,5.525214275377833,6.499868321840607,2003 Q3,WA
25,5.9444721586644835,5.5070233401698525,6.467493370609031,2003 Q4,WA
26,5.919051682974267,5.486822957587017,6.435280186510737,2004 Q1,WA
27,5.891736178113381,5.461859388273307,6.409644314012716,2004 Q2,WA
28,5.865189591291989,5.4386109008040515,6.379677147865217,2004 Q3,WA
29,5.827995190912581,5.410219420316638,6.3348870940741016,2004 Q4,WA
30,5.781585864537077,5.368409346732541,6.285342622162462,2005 Q1,WA
31,5.736120362147772,5.32535678664879,6.234474180185012,2005 Q2,WA
32,5.687583966487839,5.281999528150303,6.177711303207279,2005 Q3,WA
33,5.637205526783228,5.22706589759104,6.127355353451663,2005 Q4,WA
34,5.588865546487646,5.178258978536543,6.076411967405999,2006 Q1,WA
35,5.546223503761647,5.134345872572268,6.036099574699471,2006 Q2,WA
36,5.503187961314421,5.087851646770856,5.9925344344649005,2006 Q3,WA
37,5.474301965802797,5.0593169710958295,5.958830192760134,2006 Q4,WA
38,5.442292002921446,5.024092858963691,5.9345981276621,2007 Q1,WA
39,5.421132943154489,4.9964449536899815,5.9131550749027575,2007 Q2,WA
40,5.387231392754391,4.960281164031397,5.876444338205004,2007 Q3,WA
41,5.3597900345305565,4.931013157072836,5.849896055838702,2007 Q4,WA
42,5.32522643091265,4.8981395771113885,5.814357816595404,2008 Q1,WA
43,5.306115879122606,4.880749621487701,5.793072602160664,2008 Q2,WA
44,5.2821696650272045,4.852447968976827,5.765545054614442,2008 Q3,WA
