parameter,mean,median,sd,lower5,lower15,upper85,upper95
alpha_pt_0,-0.0021763287822650075,-0.0021839226219660017,0.005275069139610606,-0.010868163392032159,-0.007608362770457478,0.0033326758880843892,0.006524313538202223
alpha_pt_lag[1],-0.004426206447029381,-0.004454464653997114,0.004845068164615797,-0.012278209345266971,-0.009422043879924442,5.377720693631259e-4,0.003516241008932615
alpha_pt_lag[2],-1.320021304149862e-4,-1.0095990624754414e-4,0.0046794009645073735,-0.00788501790150688,-0.004994068257954282,0.004705515814120664,0.007579223115596659
alpha_pt_lag[3],0.00641319803136279,0.006403118811442532,0.004614899102305721,-0.0011896048683962422,0.0016881575463911136,0.011145214891054162,0.013989104712689956
alpha_pt_lag[4],-0.005398940204228627,-0.005386067486566548,0.005118141102792536,-0.013754859595706161,-0.01069961475172368,-0.00010488186760212832,0.002968074478108571
delta_pt_0,0.9703150346343192,0.9708783833030379,0.06124200736446323,0.8675845977220091,0.9081197747780039,1.0324058146826194,1.0690932126760226
delta_pu_0,0.808236449122211,0.8307255748397284,0.08237582496603017,0.643122454594276,0.7287448364001037,0.8835679928466471,0.8947195450623275
eps_pt,0.1521658788003937,0.1512214984054226,0.014039318335461723,0.13098946212448437,0.1378738262798397,0.1664010469742063,0.176281077439615
eps_pu,0.7123078237472569,0.7096715626515173,0.05333833937719309,0.6300610969212157,0.6568115861225556,0.7672098523457096,0.8038313950530577
gamma_pt_0,-0.23916594171570021,-0.23330133217701435,0.21920337720711844,-0.6121646736922335,-0.4719453672178021,-6.251798645166047e-4,0.11567771780248008
gamma_pt_lag[1],-0.11947269837205976,-0.08625426853048328,0.12132296629157888,-0.36433095966833395,-0.24075938077669778,-0.006626975343490043,0.011040500608505812
gamma_pt_lag[2],-0.26438053654687615,-0.23346285785156784,0.19643123514239766,-0.6342474522933829,-0.4763537215855793,-0.05818348116581626,-0.0059680977806764665
